Compound_Name,(-)-Caryophyllene oxide,.alpha.-Amyrin,.beta.-Cryptoxanthin,.beta.-Sitosterol,3-Hydroxyechinenone,"8'-Apo-.beta.-carotenal, all-trans-",AEG(o-30:2),AEG(o-32:2),AEG(o-34:4),AEG(o-34:5),AEG(o-36:6),Antheraxanthin,CL(72:8),Cer(24:1),Cycloartenol acetate,DG(18:0),DG(18:3),DG(20:1),DG(24:0),DG(32:0),DG(34:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:0),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),Diadinochrome,GalCer(d18:3),GalCer(d20:3),GalCer(d22:3),Ginsenoside F1,LPC(16:0),LPC(18:3),LPE(16:0),Lanosterol,Lupeol,Lutein,Lycopene,MG(12:0),MG(16:0),MG(16:1),MG(18:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),"NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester,(9Z,12Z,15Z)-",Nostoxanthin,PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:1),PC(32:2),PC(32:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(34:4),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:5),PC(38:6),PC(40:2),PC(42:1),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),PS(36:2),PS(38:4),Phytosphingosine,SPB 18:0;2OH,SQDG(30:0),SQDG(32:0),SQDG(34:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),Sphinganine,TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(40:1),TG(42:0),TG(42:1),TG(42:2),TG(44:0),TG(44:1),TG(44:2),TG(44:3),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:2),TG(60:3),TG(60:4),TG(60:5),TG(60:6),TG(62:5),Ubidecarenone,Ubiquinone 9,Vitamin K1,Zeaxanthin,"[2,3-dihydroxypropoxy][3-(hexadecanoyloxy)-2-[octadec-9-enoyloxy]propoxy]phosphinic acid",alpha-Tocopherol,beta-Carotene,beta-Zeacarotene,gamma-sitosterol,gibberellic acid,FA(18:4),FA(22:0) amide,FA(22:1),FA(22:1) amide,Oxo fatty acid (18:3),Hydroperoxy fatty acid (18:3),"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid"
PI655977,5199.572744,584513.7683,952813.5481,189948.2152,61891.20373,33008.09105,3101.223794,713561.3118,1107343.283,1024711.407,54841.1811,552826.8561,6831.431384,4531.72134,113541.6854,203570.56,23318424.36,261484.1112,2911396.45,652231.9106,7505.922409,2013029.961,2143253.978,1665163.995,28563.2808,265904.5247,63996.9364,131095.4416,1719666.107,762952.0887,2491919.97,405315.3562,1249576.853,16705437.98,244452.497,2590929.07,579147.9473,37125865.37,567148.4738,258039.8533,274071.1233,30123.34213,2856.590621,164503.3928,126386.1601,29089.05924,558585.2787,594384.6226,806241.6467,2195779.114,799048.9134,488527.0565,50343.47379,349153.4057,1097626.139,180529.0182,3044328.492,540.794764,50411.81504,8707979.6,2537152.661,7372164.137,138307683.4,224806.4886,81278.02012,28672.77391,153254.8479,42128.71642,370233.7504,19387.56266,142052.4028,14628.16034,17492278.11,24436350.77,45649657.35,13187142.61,50517.16402,3277948.017,3856653.759,7864688.065,9751859.496,2474645.958,317355.3699,64688.19037,118914.9497,101471.1519,3225.280877,5510.611146,96873.3386,14544.52998,20183.62497,296460.2283,99388.18275,2046526.859,14264934.63,1456656.873,954445.8225,86721.97562,4504413.75,2143362.745,125383.4189,470726.3758,863213.3762,12887.69626,38116.6021,126112.04,22935.08968,22850.05684,2007971.636,39420.76378,65184.30821,245987.0534,6786397.825,48260.99284,316345.2179,136247.6449,344395.0603,3315431.366,11467.54553,10749.47939,220041.0651,144260.5396,54745.94819,1884.063473,101480.3586,3561.005555,3579.737114,24410.35988,8522.272559,1204.551378,2118.456579,15722.66349,22847.67435,11224.76689,8576.171529,72625.67116,22552.88657,13619.27364,12489.0051,5148.838304,19142.58819,86161.99377,267463.8676,155852.5975,11210.24713,12284.69056,5730.757653,47548.17529,279219.9713,597570.0234,498341.8256,705243.3731,506375.2453,19194.80968,28190.21035,144597.0573,195575.214,237572.8597,350022.3662,1510612.443,531921.722,235714.0024,49127.8488,4116.810758,3269.769509,8296.619483,11111.29225,14415.33857,5141.335213,4079.605669,2941.377962,1757.851897,1689.361493,771.2181655,718.9591869,3682.601919,7362.204036,2941.345899,624.6560018,69234.93582,204268.6289,176666.4825,1343736.004,33200.07581,240088.5353,11103400.07,823584.8378,19231.85382,16724.04076,156121.35,10592.75885,40508.53669,3238110.875,128634.3402,50077.79223,21756.16598
PI659693,12009.92282,1259927.373,930831.1964,624834.0086,129962.0972,34302.84167,4400.632248,1345693.527,2048350.127,1796292.656,97567.57135,880856.1078,9057.544704,10892.26594,463012.1992,253937.7708,29547077.38,352466.8589,3073161.568,530416.5193,16616.18034,3670196.322,4364704.752,3287914.269,59615.2908,171788.662,125284.1754,281415.9287,3977421.325,1753465.762,4706061.005,1033259.176,2880325.812,26869282.78,498496.3018,4765673.123,1329576.239,52511643.76,1004578.705,417326.2663,420098.4662,42597.9608,3388.160039,289112.7178,275400.2787,54591.7454,1077085.614,1263265.804,569717.3395,2029720.766,1212173.803,819349.5088,102443.7935,433488.0983,1432998.581,388201.7002,3853708.156,663.1945529,136705.0796,19388519.29,6956495.372,19021923.8,171329048.8,467733.081,105467.272,74647.98295,352238.1475,91800.07372,608882.6215,47359.41343,352980.4113,28578.1934,28876425.97,40466443.73,74442633.39,16601567.16,187155.0633,6159050.26,9011399.991,11471121.41,13542536.03,4382887.042,431053.5355,108844.9278,243363.5258,192134.1728,3607.879361,10055.40685,278715.6921,27295.87307,35464.40986,443870.5795,120243.1004,3785237.829,25495671.85,2162527.213,1389111.549,144560.0239,7736580.098,3004155.189,206260.6437,858804.6672,1752295.206,16872.19819,53167.36748,225397.0275,58558.2803,40659.97079,3742404.38,78792.16181,176559.1952,576257.2293,11708407.1,79075.91496,567238.6605,285451.0122,694132.3311,5999760.851,29279.14318,13283.34998,307537.1915,124993.4849,62796.18241,1349.327783,115293.1483,8595.266164,6522.488613,44011.60053,13187.41631,2144.628403,2719.294613,34478.47731,48155.13777,24325.76512,11215.25871,83844.68851,65297.778,30634.30216,20036.94974,5490.385048,26555.01429,155643.1951,601630.2766,389288.3946,41367.93485,24410.407,10182.63916,61252.63659,422084.8767,1633197.61,1513952.331,2411924.712,1523335.963,25944.6213,34384.84616,203676.9512,306899.5616,648565.2452,1227052.124,5425903.692,1949389.01,769742.5978,32788.92258,9425.257614,7449.842215,35390.08404,38586.06657,51438.63986,24653.9062,8380.434529,5996.397337,7906.846963,6989.514435,1803.214118,1657.546053,13239.60299,16509.71564,7873.618093,1247.08419,98780.59409,313803.4866,332613.2031,949528.8744,74562.01579,576537.1439,10914424.22,583739.7189,66333.10778,18575.88001,239474.7751,7232.212918,44059.92573,3597502.993,223250.5317,78900.29758,34983.40657
PI533769,5945.634884,292285.0041,704552.8021,208565.7713,78766.99514,18393.82612,2621.308407,709248.2158,1226643.93,1176612.083,54844.10551,392032.6291,7750.142944,5889.00982,116439.6713,179373.2686,23010839.93,273273.8635,2818956.342,469584.7006,9495.109916,2278046.359,2041539.71,1326244.661,27824.08641,97790.5625,73463.17445,208033.5516,1949508.689,712820.0437,1560638.094,666754.4261,2116622.195,17674151.6,417326.7605,2626153.152,816270.3891,37944870.58,549798.4144,277582.7988,293287.3845,28954.92791,1521.285516,266808.1968,100254.6919,49433.24235,280025.7896,299565.9773,855417.1785,1229461.819,809067.0823,511166.3694,60275.96335,353070.3862,1130360.899,215318.2147,3211331.21,540.9373961,87180.02506,8634633.535,3571332.772,8477088.281,133526801.3,353668.9737,60229.60844,39495.99545,173048.1922,33418.22723,344810.763,24857.88902,120174.9552,17719.3242,15331356.81,26323649.78,39741158.15,10125162.7,61824.51969,4100716.655,6871401.345,10469752.06,9351331.497,2423214.591,260434.7834,137297.716,148746.4837,127181.7054,3667.541246,5864.292819,101409.6611,24716.62153,22069.33713,305997.4857,58547.56831,2548549.184,13143595.1,1232766.608,991963.7882,105178.5251,5308800.104,2077759.569,109332.853,517279.0726,1192257.857,15723.15539,95334.83808,201402.1793,23014.01592,24300.70382,2310310.148,45745.80329,143297.393,394511.509,7645384.853,66165.08269,350207.6259,216071.8783,500147.6141,3812460.481,11507.00812,12362.62586,236416.2136,158582.0413,43831.14905,1250.095121,76263.0094,3147.196285,2839.891646,27388.94292,7055.304141,1271.34949,1361.723779,13279.47855,18383.79741,16142.40752,7333.641817,37312.40575,18031.84406,12736.17347,10510.89475,5216.404553,15716.1941,81514.84417,250974.5338,124929.6523,12456.89599,9698.342502,5059.651661,31380.91264,289784.3371,801530.29,570952.4284,705125.4783,436186.2334,9845.889985,25130.10258,149223.8894,235644.0122,285550.3194,446919.3121,1808689.53,596028.6191,228130.1837,13036.91524,3427.629623,3874.468393,10692.23231,12542.40208,16836.3061,6356.340549,2255.989115,1523.456213,1543.193029,1652.081447,519.1341253,415.7231432,2562.247299,3990.771481,1851.793206,472.099177,64016.67525,146567.5241,154455.5101,1425695.127,60479.65684,167471.5281,7697135.525,454394.0013,29069.55963,21664.3087,202947.0164,9965.027115,48499.718,3638092.06,158102.3673,58101.95538,26247.87696
PI533792,14946.74651,347031.0207,924963.5935,413524.0225,128039.6698,33307.06866,2635.784158,1117937.963,1908489.159,1501290.809,77679.55041,644536.2653,7354.984908,8180.151946,219020.0104,269894.4194,29921416.69,340724.5378,2990572.974,586121.8065,14184.56422,3531686.386,3108098.4,2248369.986,66336.08538,135801.742,107474.1731,238520.9535,3174970.537,1276674.178,2922075.884,1006815.635,3304567.347,26901444.29,568126.1071,4718776.501,1354831.693,50117454.87,830320.3698,402958.4606,438243.6427,56881.31652,2174.934643,310329.6483,203846.378,55050.67891,339761.317,375790.2486,1318040.295,1257301.702,1160281.247,813337.1432,135553.0557,486719.6603,1394021.836,368811.9431,4476432.748,605.3110074,147805.9113,14831765.65,6041436.578,16200344.86,171693583.1,643780.6759,82865.11092,90385.21393,368202.0248,67948.79425,428063.724,37284.13848,93277.80793,20423.66071,20790602.1,53857320.72,55665869.54,13645581.47,79220.20454,4810996.688,6659431.92,11806877.28,13379425.55,4469086.205,375667.0163,133168.0641,185297.0224,164965.4268,4536.006434,6573.497859,230678.5266,27525.33727,44581.53096,416172.4763,142725.7388,3093499.991,17413192.43,1777817.991,1253664.35,100962.277,6530083.38,2524869.091,158128.9432,735357.1047,2052875.422,22036.79667,101625.7398,210062.8798,64410.96089,38930.29636,3440594.231,76679.79776,216623.038,528694.27,11552321.69,77712.37969,576596.1682,323126.8472,772744.2104,5858935.764,32205.48086,11145.3578,246367.2257,160390.4518,49413.17731,1210.021199,88865.33867,2591.979978,4145.050229,35956.19567,9069.075743,1240.57238,1698.164052,16073.75906,37966.25439,24882.91182,11474.07362,53237.10948,32866.33446,22894.97123,19703.38888,7456.741843,28928.16808,104124.9675,367057.9258,192739.1056,17652.24279,12819.21783,6570.12078,49566.35968,363033.4681,1011369.112,838410.1357,1152897.285,761614.9042,14641.91004,27228.57641,203643.2475,319067.6003,380739.9492,581539.9342,2564453.2,865998.2073,321868.1337,42976.26031,4669.826963,5304.291451,18636.69818,18402.32098,25416.41779,10511.37509,4001.530038,2108.483013,2822.367503,5067.30163,684.764327,609.2148173,4924.417386,8547.068998,4472.054622,589.4842392,86656.00885,241503.0886,270802.8286,2196733.845,91871.16157,252065.4465,9695888.58,405736.161,37664.10488,17097.74466,221825.7433,8970.520179,34673.61099,2721572.548,486484.8503,267043.804,113974.9153
PI533877,16084.78455,524459.8808,973487.8321,293995.2935,92076.29601,32045.21988,3191.562516,946035.6029,1348917.675,1296017.698,57071.60316,648158.3888,5822.434519,7945.351431,379293.7673,230796.1218,24502382.38,274561.7229,2998699.589,554470.3562,10868.25376,2526821.06,2725896.374,2324814.343,45913.12073,106215.3443,74905.06988,197659.6464,2492806.472,1066979.694,2665359.331,594532.7843,1975992.942,20686295.4,327979.0377,3139752.862,904792.4489,42034592.56,616409.4654,270800.2212,295003.85,36262.40937,3527.720889,227052.0132,166349.5366,40822.17067,292722.9906,542396.3934,453020.8444,2456403.334,975423.9916,617930.2431,61924.57192,404300.8018,1121766.687,228907.7585,3206874.162,507.1574727,90332.26008,13911253.51,4569177.722,11130947.37,148169484.9,331688.9245,81378.99893,52257.45251,207675.078,55449.83913,407991.4667,37674.60076,130115.9319,24250.98244,20736164.91,42896706.39,56291015.55,14862252.42,82739.90498,3810736.687,4951082.14,7848179.539,10032809.04,4361282.119,447611.8873,56021.20491,193334.612,101123.8513,3524.679115,12266.85186,247584.0043,20411.08833,26120.95171,360142.629,159564.602,2514702.621,15029288.13,1692249.333,1017443.359,91913.05388,5401079.083,2424443.71,175124.3989,542926.3923,1289264.064,18753.54933,83276.88771,233094.9861,27400.2856,30369.95514,3159751.675,55212.7905,129840.6236,343014.4107,8790756.166,57218.21064,375489.3448,208820.2973,464703.7841,4174195.49,13700.14434,13306.95939,255813.8153,167892.477,44182.92989,1231.226237,78115.8906,2515.882505,4373.489808,20553.41935,8190.070349,1564.430708,4130.016345,13506.4033,28843.0023,22510.84345,15396.78469,65935.16618,21967.4963,20069.98494,20323.56449,5314.360937,35227.80822,99894.74873,431579.591,281434.4783,29265.79968,20896.18573,11053.40625,38330.58176,330011.2254,1037705.8,940298.1415,1497479.573,1137792.245,10930.48456,23546.66554,119421.9065,235687.7071,345112.7812,621768.9554,2922227.129,1139039.706,542260.2467,29960.31215,3510.218604,9110.299878,19058.2745,29038.38921,19071.42589,13492.17442,6332.547609,4000.272265,2504.948112,6529.592439,1137.764729,670.7005076,7807.774959,14413.19219,5975.820992,1566.632057,81894.28253,253177.9898,239211.0547,755034.6979,61394.9223,249081.9283,12085588.44,911904.6281,24937.07229,14937.33976,170065.8522,8651.029852,23385.96818,2652746.146,284211.888,157207.8667,64988.20012
PI533866,9326.419299,324139.9883,821688.4547,359346.2597,92388.61443,16174.73747,2625.657841,868135.245,1385102.204,1232492.18,71485.96993,503793.0301,8889.58983,8779.442505,204794.5525,215576.0624,24313587.22,290543.6736,3006418.813,486905.6678,13719.58142,2624263.723,2869276.317,2178799.988,45399.24482,122125.5466,86361.54052,206428.2096,2688088.376,1137735.225,2478340.698,732174.2254,2407060.566,21375185.05,399047.9067,3309788.074,935603.4637,44099642.19,709583.6087,341648.596,371560.9704,37283.28287,1975.444097,248049.7104,192902.1238,38513.30929,328602.1493,350857.2986,1032473.963,1476138.639,956006.9691,657028.2094,88573.99851,395415.4867,1228559.253,284412.1598,3791340.304,517.3647527,98444.10073,12186532.49,4176127.986,10983137.47,153351636.5,485998.0853,68067.17056,57286.40273,285635.844,64300.70228,375382.2778,34201.28103,100109.6487,16031.05518,17822720.86,40672593.16,46702327.27,13940077.44,69751.88249,3560711.733,4853983.79,9813975.264,9078734.286,3635438.222,428365.4771,88463.53164,154303.1261,142031.5127,3561.461587,5000.866692,155186.4777,19256.65254,33962.22315,349254.9132,56472.17484,2709895.204,14361243.03,1538358.789,1066787.836,90996.49656,5711257.097,2200877.374,132502.7765,588364.825,1129483.731,14037.42093,89261.77166,295610.9494,55172.16923,31648.15381,2951523.181,53361.03268,144367.3612,382022.5666,8764373.15,72658.35375,413664.942,210868.0217,520545.344,4574027.144,27586.08507,12471.36683,197541.5706,147018.5831,48770.75951,1221.349311,91271.68508,2592.062033,3663.397233,27707.96893,10706.12639,1389.844387,2212.423412,14902.13913,19011.42883,20789.51061,12324.57831,52190.08049,32954.17069,22793.63016,19351.22942,5364.679335,25501.66816,96254.0309,374642.0966,210335.8436,26608.8528,19625.3155,7143.527348,41221.59128,337061.2913,718379.5527,830876.0046,1225256.556,859139.6108,12502.95752,24278.66413,159513.4658,292809.4612,433287.2061,617987.7441,2863520.926,1088589.56,418786.9346,14205.78094,4022.987333,5615.417809,11548.16993,23372.71484,19951.3038,11549.35597,3548.470389,1923.092321,1708.280255,2343.01689,630.0979109,497.9116523,3233.561012,6888.232667,3323.210638,528.7940294,82484.03771,215325.2646,211180.2645,1720789.328,53414.43832,200625.8831,8981962.131,547772.7402,43779.58161,16612.5485,287404.7837,9637.978198,46863.11768,3751713.457,653113.7712,336484.0066,139512.7936
PI533755,8767.08999,908464.9149,1104805.45,434098.9086,103830.9156,22480.15035,3331.741711,794915.9587,1438021.564,1436178.058,124720.9679,540670.6873,12204.01156,10899.42001,146592.5235,262606.6813,26899325.81,303258.4381,2884343.981,843863.2185,7813.734936,2721531.313,2659722.571,1761182.279,43246.2585,370314.777,108298.8329,394571.5633,2426042.575,946772.4029,2103649.645,641553.8807,1393980.59,19488740.67,288482.3876,3239835.176,697046.8985,44256643.79,822871.9601,335435.794,368305.3794,38431.35509,2526.386684,205772.4222,144418.1552,34181.45714,877263.9764,914557.2334,490871.7569,2862932.418,928518.8987,606375.0053,56768.5702,452205.893,1229368.53,235160.2623,3565799.594,441.1974541,114469.7573,10155731.26,3430491.621,9048543.332,153797263,234674.998,90620.40782,50422.6452,183639.5246,48139.38065,566855.1877,27645.07068,114829.5492,16784.72865,20625096.93,56164563.9,52715337.75,15523077,70345.38054,4387476.915,5455097.479,12131186.03,12167731.7,3904236.692,493599.9566,120136.5583,130571.3031,153987.3497,4386.685271,10451.23321,172208.6901,17090.72889,20477.64005,338713.8463,48956.52736,2783122.434,17642461.44,1660656.371,1236307.069,105844.3676,5585524.66,2321014.527,134353.3879,679515.8728,1315299.397,11560.12597,69470.43114,181830.1346,29414.64759,29824.3364,2446279.005,54746.90631,129479.8079,277919.3993,8060809.766,60162.54999,410232.7345,177568.1943,431409.6477,4515041.492,14707.32415,10840.80769,146093.2568,109841.1129,25823.28875,1093.629325,63608.91862,2323.403444,9164.58039,41762.11957,5278.006434,1441.955358,3421.730137,30365.9482,36802.28501,19078.90893,11425.31092,115178.7801,60653.92201,40788.20866,9806.971363,8391.719043,36878.94436,778577.5715,838729.9652,164888.9386,26356.47069,18266.8592,10823.34855,383765.6664,2622785.387,5088251.328,1402309.086,988814.0901,648452.0082,57913.74526,354640.5199,1430191.856,1620821.249,987507.2298,837110.7143,2638133.426,915655.9313,398034.0149,40469.96771,21187.2856,26605.4019,37897.71165,28640.64163,28183.95712,7643.895661,8308.343404,6379.339881,6128.774102,2351.454083,1787.978182,864.0537544,5924.744722,8453.746812,2101.838252,1026.825523,82400.61477,268561.6346,200244.0679,818119.5351,61083.10306,856730.3532,14701900.56,1105119.439,34368.14492,10093.3627,207101.566,9225.243873,27214.39022,2656938.673,193675.3598,79046.60233,34019.44231
PI533921,7047.703881,446465.908,1102670.087,262721.4428,104277.6135,34986.63127,2568.535632,1080897.294,1533298.165,1437963.058,113655.5992,607347.2156,6556.548858,11999.68088,133953.7894,275839.9151,26687581.57,306424.6081,3063288.948,731446.5893,9836.428289,2877281.856,2854143.197,2422817.191,29258.55695,191241.5445,73892.21767,274994.7162,2593510.384,960824.7519,2037025.512,661822.5254,1736869.62,19914230.77,296830.7874,2866940.339,852989.3888,43906669.31,760490.5369,371439.5126,391770.322,37045.08987,4915.702381,220554.0278,165305.7327,34020.8679,422028.065,449350.157,552758.7593,2780896.929,1021038.272,648684.8945,73266.54134,499333.8701,1255296.31,319480.6812,3437567.582,670.1700209,87563.03966,10719728.23,4731809.913,11429313,153170158.4,255002.8881,88855.44386,48146.90794,224048.1591,55101.90876,521225.6857,44665.22929,166573.2564,32827.87907,14931373.21,31897855.57,36344449.69,14769855.73,69429.27688,4084507.968,6210965.407,10772594.11,10615728.85,3940769.535,470233.8885,125087.96,130059.168,188581.8358,4535.121366,6949.065748,112106.6878,17010.43682,25009.84843,370902.0272,72103.81576,3033714.233,17151914.05,1734196.219,1097519.853,120014.4369,6151125.625,2575688.276,157049.1091,691058.3113,1498409.568,53041.16898,100843.0018,215531.2375,48670.22986,27280.94324,2710357.269,43946.14465,151674.4605,333838.7376,9250119.982,80078.92989,384773.0581,247201.1901,531079.1314,4846342.428,24335.1129,24484.82587,406138.1914,225386.399,85520.70306,2032.663682,148793.7377,5023.552795,4522.51505,56915.49113,21111.84418,3088.247507,2110.36407,24930.38851,33670.32346,20064.80683,10385.00715,70722.72379,31641.35978,26104.34253,10395.99678,7195.319153,31934.46308,107350.2519,277210.8969,143837.2266,15398.28945,17097.80661,8712.591035,50218.19718,334751.1488,762781.1224,694722.4412,889811.0267,592018.3129,22579.18733,36194.30591,213873.7791,322458.175,422052.1863,666735.8524,2585647.782,863979.1188,377686.8199,15828.025,6115.66594,3863.701351,15678.52463,14853.06105,19027.68076,6422.486978,5503.104986,1902.194826,2110.765505,2355.056024,928.7209777,671.5756654,4217.931752,6089.066135,3151.700831,560.3447618,85857.35359,272318.6592,215683.3092,921264.5739,70374.96482,287399.5376,14497216.27,1045833.782,30989.75949,16700.57679,239308.7643,8648.180975,39322.39975,3398955.998,301661.735,133513.7975,58079.08391
PI534046,6796.719158,634107.6652,1259190.709,306529.8344,83997.81738,36505.65823,2749.273491,1074988.509,1449752.806,1501813.829,123285.9451,623136.4485,11319.24423,7201.983276,189543.5102,236897.7889,25890229.25,275661.8844,2925244.418,827302.9718,10409.15623,2483190.94,2578914.494,1778365.998,44736.4539,183678.304,85230.49985,220424.2572,2632875.901,1103857.203,1939673.055,524180.9139,1573338.658,18360264.56,337435.2586,3042437.376,762021.3448,43420758.48,629167.1508,315466.3931,373007.135,34689.46502,2633.148982,181259.707,118021.1327,26677.29389,615004.3001,654154.8569,1263750.291,2751680.56,922790.2899,585262.476,56796.69975,435728.0404,1150422.768,253526.288,3470509.289,504.6842899,59684.51828,10040700.99,3447858.704,10567460.67,149104246.7,242568.7793,95999.43686,33897.77931,168468.1198,39340.37609,644994.9951,48381.45762,123132.7992,15826.69581,20919714.74,44742289.61,54602310.69,11915479.21,57781.2225,4567945.738,11500023.22,10051962.65,9669093.146,3354307.018,537404.603,130626.7023,190627.0202,187191.7676,7637.799913,11430.61604,292536.4979,13338.64622,23520.58498,338530.5345,59568.49873,3258422.643,16458228.97,1668017.439,1173375.383,114738.057,6849092.067,2605477.979,134953.3577,742851.8256,1173557.409,22116.55956,88939.5353,161724.4035,35944.6101,20653.87507,1991704.836,36617.28688,80815.31883,258759.0361,6912831.355,56721.38215,348054.7492,164061.6422,418180.9949,3774966.114,17972.30545,17120.07078,327574.0423,187586.8072,64342.51292,1661.476236,113600.0346,4393.561679,4800.488947,30219.40254,9323.786256,1932.774168,2284.031792,22839.05353,26360.12799,15352.18882,11521.70139,64955.32283,27251.77213,20044.60524,17290.20524,5617.900206,24516.0888,123418.569,359141.8163,185185.9053,13174.41284,17288.98691,8457.030483,60414.09926,432503.7136,892498.765,924876.4138,1269261.934,804059.3723,23156.88595,47204.64403,236448.984,395902.6156,406574.8789,806040.0354,3357399.192,1225962.447,500325.8237,38903.6175,4829.488356,4461.79242,20972.06377,22453.80405,39332.86884,15110.00703,3420.023409,2622.532503,3188.633075,3207.627976,834.2399323,1107.70261,6470.87587,9248.78345,2781.204737,1454.411745,69702.60921,218429.2606,189171.1375,2106249.991,51365.71716,242223.4082,14887878.12,788127.9853,24566.60886,15720.90887,180692.8248,8814.150497,52092.65342,3466510.597,150780.4202,58097.78207,25878.90647
PI533760,8911.458463,306852.5817,851367.9369,190916.5615,77945.08142,36342.08734,2796.982674,987888.4411,1325699.517,1470031.886,75570.9059,424080.1529,6248.027088,9211.471086,115103.6864,229402.7395,23831254.99,243349.0504,2632307.008,583245.6304,10278.65128,2186857.229,2204190.703,1513443.98,31818.91406,109763.0142,71060.66876,180382.4812,2100809.052,840112.6475,1723989.278,436918.0617,1156398.011,16445579.82,242027.8724,2677275.414,567632.9222,40662478.88,529530.0885,276350.8439,317769.7012,32674.57973,2053.300372,210134.1512,135311.2751,38438.58849,299678.1978,313481.97,456156.2741,1593319.696,753215.7329,531424.6743,63489.99986,405832.9456,1017947.708,207116.38,3177250.244,406.7839771,53129.82301,8187913.757,2761450.776,7520836.3,136452459.3,250664.1336,67362.44395,36065.51002,190810.5922,45103.75351,624559.3682,42379.3154,126372.7064,22916.56591,20559156.52,22637105.85,53618992.2,11478956.51,64162.0976,4748856.35,6389067.267,6511520.306,9895694.88,3149728.252,498795.313,68340.08873,153603.9539,155574.8574,5667.013238,5078.223877,226721.0137,19219.29458,24153.68172,282866.0776,66502.38545,2768394.02,15229856.89,1561876.225,1042092.312,106287.2649,5691460.928,2325292.927,123092.8785,755313.7795,1059327.776,27517.24054,93032.44362,176715.1595,37966.98151,22411.62305,2083231.58,35381.82713,83288.195,259895.1908,7082708.378,51266.49063,346212.225,161688.0159,412936.4847,3876180.332,18983.49115,14754.36697,334877.131,196159.7456,62119.45252,1833.178194,115777.3495,6178.31174,4757.766326,31443.57051,18872.03599,1948.445237,1853.335329,17712.57404,24446.73402,14470.51403,6626.888412,47255.05436,31931.17795,20439.82621,9631.183819,6118.178176,16847.00379,89995.90896,243576.4994,124035.2687,15391.82423,12418.77951,5389.228135,44628.1954,332226.698,822558.9239,582692.836,737974.2168,480867.3655,16305.48516,42065.26615,197139.1087,298104.773,338321.9539,481995.5269,1890501.678,635647.9186,251145.6461,15581.95376,3762.646118,5099.689876,10113.98657,12106.54365,14519.7467,5514.81189,2764.73948,1787.949255,1772.581433,2070.123222,574.9057946,445.4583713,3245.257719,5426.412428,2384.808141,497.1440059,63859.75602,194300.8661,168109.0228,760260.4078,49469.60594,302889.7059,9737048.354,595082.4674,19609.75753,15317.59828,228493.0819,13139.04688,51097.42417,3990095.536,155071.1489,54958.37257,23854.4727
