,Sum_AEG_Sum_Cer,Sum_AEG_Sum_DG,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_FA,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MG,Sum_AEG_Sum_MGDG,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PE,Sum_AEG_Sum_PG,Sum_AEG_Sum_PS,Sum_AEG_Sum_SM,Sum_AEG_Sum_SQDG,Sum_AEG_Sum_TG,Sum_Cer_Sum_DG,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_GalCer,Sum_Cer_Sum_LPC,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_MGDG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_Cer_Sum_PE,Sum_Cer_Sum_PG,Sum_Cer_Sum_PS,Sum_Cer_Sum_SM,Sum_Cer_Sum_SQDG,Sum_Cer_Sum_TG,Sum_DG_Sum_DGDG,Sum_DG_Sum_FA,Sum_DG_Sum_GalCer,Sum_DG_Sum_LPC,Sum_DG_Sum_LPE,Sum_DG_Sum_MG,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DG_Sum_PC,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DG_Sum_PS,Sum_DG_Sum_SM,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_FA,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_SM,Sum_DGDG_Sum_SQDG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_FA_Sum_MG,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_FA_Sum_PE,Sum_FA_Sum_PG,Sum_FA_Sum_PS,Sum_FA_Sum_SM,Sum_FA_Sum_SQDG,Sum_FA_Sum_TG,Sum_GalCer_Sum_LPC,Sum_GalCer_Sum_LPE,Sum_GalCer_Sum_MG,Sum_GalCer_Sum_MGDG,Sum_GalCer_Sum_PA,Sum_GalCer_Sum_PC,Sum_GalCer_Sum_PE,Sum_GalCer_Sum_PG,Sum_GalCer_Sum_PS,Sum_GalCer_Sum_SM,Sum_GalCer_Sum_SQDG,Sum_GalCer_Sum_TG,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PC,Sum_LPC_Sum_PE,Sum_LPC_Sum_PG,Sum_LPC_Sum_PS,Sum_LPC_Sum_SM,Sum_LPC_Sum_SQDG,Sum_LPC_Sum_TG,Sum_LPE_Sum_MG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_LPE_Sum_PG,Sum_LPE_Sum_PS,Sum_LPE_Sum_SM,Sum_LPE_Sum_SQDG,Sum_LPE_Sum_TG,Sum_MG_Sum_MGDG,Sum_MG_Sum_PA,Sum_MG_Sum_PC,Sum_MG_Sum_PE,Sum_MG_Sum_PG,Sum_MG_Sum_PS,Sum_MG_Sum_SM,Sum_MG_Sum_SQDG,Sum_MG_Sum_TG,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_SM,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SM,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PE,Sum_PC_Sum_PG,Sum_PC_Sum_PS,Sum_PC_Sum_SM,Sum_PC_Sum_SQDG,Sum_PC_Sum_TG,Sum_PE_Sum_PG,Sum_PE_Sum_PS,Sum_PE_Sum_SM,Sum_PE_Sum_SQDG,Sum_PE_Sum_TG,Sum_PG_Sum_PS,Sum_PG_Sum_SM,Sum_PG_Sum_SQDG,Sum_PG_Sum_TG,Sum_PS_Sum_SM,Sum_PS_Sum_SQDG,Sum_PS_Sum_TG,Sum_SM_Sum_SQDG,Sum_SM_Sum_TG,Sum_SQDG_Sum_TG,Sum_AEG,Sum_Cer,Sum_DG,Sum_DGDG,Sum_FA,Sum_GalCer,Sum_LPC,Sum_LPE,Sum_MG,Sum_MGDG,Sum_PA,Sum_PC,Sum_PE,Sum_PG,Sum_PS,Sum_SM,Sum_SQDG,Sum_TG
PI329435,51.59406292,0.044643631,0.255140876,-7.121410097,13.69605359,-2.872343572,-37.69566604,1.605808593,0.031068694,23.18450921,-0.015405473,-0.056072571,1.220285139,4.064989431,343.7975915,-0.330997669,-0.041174527,0.000865286,0.00494516,-0.138027705,0.265457939,-0.055671979,-0.730620229,0.031123903,0.000602176,0.449363898,-0.00029859,-0.001086803,0.023651658,0.07878793,6.663510723,-0.006415422,-0.000798048,5.715056511,-159.5168196,306.7862797,-64.33938016,-844.368275,35.96948864,0.69592668,519.3239996,-0.345076621,-1.256003818,27.33391304,91.05418407,7700.932489,-7.414219197,-0.922293399,-27.91167844,53.68035804,-11.25787296,-147.744519,6.293811544,0.121770743,90.8694426,-0.060380264,-0.219771023,4.782789635,15.93233311,1347.481425,-1.297313366,-0.161379576,-1.923222143,0.403339161,5.293286796,-0.225490257,-0.004362717,-3.25560653,0.002163262,0.007873802,-0.171354426,-0.570812434,-48.27661752,0.046479232,0.005781794,-0.209720527,-2.752301295,0.11724608,0.002268441,1.692787565,-0.001124811,-0.004094068,0.089097573,0.296800053,25.10194555,-0.024167375,-0.003006306,13.12366195,-0.559058675,-0.010816496,-8.071635106,0.005363381,0.019521541,-0.424839546,-1.415216992,-119.6923637,0.115236099,0.014334819,-0.04259929,-0.000824198,-0.615044424,0.00040868,0.001487507,-0.032372028,-0.10783705,-9.120347977,0.008780788,0.001092288,0.019347695,14.43790332,-0.009593593,-0.03491859,0.759919423,2.531428372,214.096246,-0.206125232,-0.025640993,746.2337836,-0.495851979,-1.804793312,39.27700119,130.8387603,11065.72389,-10.6537361,-1.325273805,-0.000664473,-0.002418536,0.052633641,0.175332132,14.82876296,-0.014276674,-0.00177595,3.639782415,-79.21114142,-263.866569,-22316.58715,21.48571865,2.672720615,-21.76260347,-72.49514914,-6131.29704,5.90302282,0.734307799,3.331179986,281.7354572,-0.271246169,-0.033741726,84.57527315,-0.081426453,-0.010129061,-0.000962769,-0.000119764,0.124395216,136027.2794,2636.490939,3046958.214,533145.7718,-19101.17204,9931.859459,-47357.59354,-3608.565485,84709.52269,4378274.754,5867.162343,-8829801.925,-2425914.772,111471.7168,33463.13237,395.6609435,-410961.4422,-3303675.617
PI329440,-11.31478555,-0.175626693,-0.084414898,17.89562122,-3.006387535,-1.625445281,-19.71321357,-1.557136101,0.023885236,-3.588960909,0.011744997,-0.33862773,-2.346538792,-4.213453353,-10.46823377,-0.402484635,-0.042272074,0.015521876,0.007460583,-1.581613823,0.265704332,0.143656747,1.742252515,0.137619586,-0.002110976,0.317192128,-0.001038022,0.029927896,0.207386944,0.372384729,0.92518181,0.035571565,0.003736003,0.480649591,-101.8957931,17.11805579,9.255115204,112.2449736,8.866169892,-0.136000032,20.43516757,-0.066874784,1.928110835,13.36094614,23.99096214,59.60502679,2.29170536,0.240692765,-211.9960051,35.61441871,19.25543135,233.5276587,18.44622373,-0.282950479,42.5157286,-0.139134174,4.011468792,27.79768545,49.91362229,124.0093155,4.767933652,0.500765567,-0.167995707,-0.090829218,-1.101566318,-0.087012129,0.001334697,-0.200549669,0.000656306,-0.018922379,-0.131123629,-0.235446051,-0.584960625,-0.022490677,-0.002362146,0.540663924,6.557109934,0.517942575,-0.007944829,1.193778535,-0.003906681,0.112636088,0.780517736,1.401500406,3.481997461,0.133876498,0.014060754,12.12788508,0.957975098,-0.01469458,2.207986299,-0.007225711,0.20832921,1.443628291,2.592184064,6.440225268,0.247615001,0.026006458,0.07898946,-0.001211636,0.182058643,-0.000595793,0.017177703,0.119033804,0.213737519,0.531026244,0.020416998,0.002144352,-0.015339209,2.304847281,-0.007542691,0.217468293,1.506958056,2.705899214,6.7227481,0.258477492,0.027147322,-150.2585495,0.491726235,-14.1772822,-98.24222783,-176.4040917,-438.2721522,-16.85077072,-1.769799323,-0.003272534,0.094352583,0.653821218,1.174003691,2.916786789,0.112145171,0.01177836,-28.83165709,-199.7904948,-358.744519,-891.2930018,-34.26860215,-3.599155784,6.929552962,12.4427298,30.9136932,1.188575531,0.124833469,1.795603536,4.461138167,0.171522685,0.01801465,2.484478382,0.095523695,0.010032643,0.038448189,0.004038129,0.105027797,141029.3101,-12464.16112,-803006.1226,-1670668.482,7880.660211,-46909.8905,-86763.49293,-7154.049723,-90569.67467,5904455.388,-39295.30404,12007607.01,-416473.0099,-60100.99239,-33471.19294,-13472.12082,-350396.7555,-3336228.752
PI34911,17.54573673,0.158622915,0.108398259,-39.67697121,8.11544957,4.615048181,-216.0749731,1.965755168,0.138263615,14.12184185,0.04062238,0.208781539,1.669089802,3.308599921,133.1165658,1.092616532,0.088252596,0.009040539,0.00617804,-2.26134541,0.462531138,0.263029604,-12.31495584,0.112036057,0.007880183,0.804858871,0.002315228,0.011899275,0.095127941,0.18857002,7.586832509,0.06227248,0.00502986,0.683370739,-250.1339178,51.16189904,29.09446076,-1362.192675,12.39263045,0.87164969,89.02775388,0.256094022,1.316212977,10.52237503,20.85827207,839.201358,6.888138018,0.556367257,-366.0295992,74.86697353,42.57492909,-1993.343579,18.13456406,1.275515091,130.2773865,0.374751226,1.926059899,15.39775473,30.52262978,1228.032326,10.07965022,0.814151419,-0.204538031,-0.116315536,5.445853513,-0.049543983,-0.003484732,-0.355920359,-0.001023828,-0.005262033,-0.042066966,-0.08338842,-3.355008252,-0.027537801,-0.002224278,0.568674371,-26.62513903,0.242223817,0.017037086,1.740118243,0.005005561,0.025726429,0.205668187,0.407691514,16.40285787,0.134634135,0.01087464,-46.81965704,0.425944669,0.0299593,3.059955454,0.008802157,0.045239298,0.361662487,0.716915575,28.84402515,0.23675084,0.01912279,-0.009097561,-0.000639887,-0.065356212,-0.000188001,-0.000966246,-0.007724586,-0.015312277,-0.616066562,-0.005056655,-0.000408435,0.070336132,7.183927114,0.020665025,0.10620933,0.849083258,1.683119025,67.71777482,0.555825339,0.044895009,102.1370797,0.293803836,1.510025176,12.07179346,23.92965007,962.7736549,7.902415495,0.638292267,0.002876564,0.014784299,0.118192076,0.234289546,9.426289235,0.077370682,0.006249369,5.139569307,41.08793692,81.44771161,3276.926773,26.89691058,2.172511689,7.994431919,15.84718616,637.5878167,5.233300492,0.422703063,1.982277956,79.75398667,0.654618182,0.052874684,40.23350329,0.330235314,0.026673698,0.008207968,0.000662972,0.080771793,689397.8592,39291.47404,4346142.917,6359861.007,-17375.26424,84948.81932,149380.4251,-3190.549324,350703.8264,4986111.928,48817.84306,16970887.8,3302005.826,413038.207,208365.4342,5178.903579,630960.4868,7811643.951
PI35038,71.44127341,0.076837988,0.071704373,88.9370972,6.355797956,4.578621709,45.37382562,1.023319284,0.031085645,85.56555542,0.042416711,0.177663035,1.762092957,32.18969683,1895.696734,0.71674162,0.50728012,0.001075541,0.001003683,1.244897983,0.088965351,0.064089307,0.635120617,0.014323923,0.000435122,1.197704791,0.000593728,0.00248684,0.024664915,0.450575631,26.53503561,0.010032599,0.007100659,0.933189113,1157.462604,82.71687165,59.58799617,590.5129358,13.31788243,0.404560898,1113.584024,0.55202787,2.312177103,22.93257558,418.9294625,24671.34804,9.32795929,6.601944375,1240.330162,88.63891624,63.85414844,632.7902108,14.27136497,0.433525094,1193.310132,0.591549839,2.47771547,24.57441396,448.9223636,26437.67237,9.995786659,7.074605008,0.071463969,0.051481574,0.510178846,0.011506102,0.000349524,0.962090715,0.000476929,0.001997626,0.0198128,0.361937795,21.31502819,0.008058972,0.005703808,0.720385031,7.138966017,0.161005635,0.004890911,13.4625984,0.006673703,0.027952908,0.277241814,5.064619274,298.2625859,0.11276973,0.079813758,9.90993109,0.223499417,0.006789302,18.68805961,0.009264078,0.038802733,0.38485227,7.030433802,414.0321814,0.156540912,0.110793193,0.022553075,0.000685101,1.885791075,0.000934828,0.00391554,0.03883501,0.709433167,41.77952174,0.015796367,0.011180017,0.030377269,83.61569719,0.041450123,0.17361447,1.721938582,31.45616165,1852.49781,0.700408593,0.495720278,2752.574529,1.364511182,5.715275776,56.68510147,1035.516443,60983.02662,23.05699668,16.31879008,0.000495722,0.002076338,0.020593485,0.376199239,22.15490479,0.00837652,0.005928555,4.188515164,41.54242356,758.8918704,44692.21464,16.89762384,11.95944034,9.918174326,181.1839854,10670.18093,4.034275436,2.855293553,18.26787667,1075.821072,0.406755851,0.287884994,58.89141311,0.022266181,0.015759083,0.000378089,0.000267596,0.707758704,-1336876.49,-18712.94318,-17398640.07,-18644281.02,-15031.70816,-210339.6771,-291982.2983,-29463.60531,-1306411.899,-43006232.54,-15624.00294,-31517684.22,-7524786.943,-758686.6994,-41531.19232,-705.2164335,-1865213.98,-2635381.197
PI48770,-100.2331158,0.48865069,0.886511995,-56.71276186,55.57544655,-55.09531576,338.3386147,7.779585639,0.191989821,2919.15816,0.11080802,0.249786603,2.841257038,31.94813243,594.5430244,-0.677555017,-0.329219203,-0.004875142,-0.008844502,0.565808629,-0.554461927,0.549671786,-3.375517283,-0.077614924,-0.001915433,-29.12368968,-0.001105503,-0.002492057,-0.02834649,-0.318738295,-5.931602741,0.006759792,0.003284535,1.814203915,-116.0599239,113.7324631,-112.7498987,692.3936092,15.9205457,0.392897883,5973.915971,0.226763254,0.511176202,5.814495094,65.38030764,1216.703541,-1.386583568,-0.673731174,-63.97292107,62.69001083,-62.14841546,381.6514799,8.775499582,0.216567652,3292.858052,0.124993256,0.281763366,3.204984315,36.03801485,670.6542359,-0.764293118,-0.371364634,-0.979946042,0.971480033,-5.965828565,-0.137175221,-0.003385302,-51.47268559,-0.001953846,-0.004404416,-0.050099077,-0.563332333,-10.48340805,0.011947135,0.005805029,-0.991360739,6.087915361,0.139982422,0.00345458,52.52604057,0.00199383,0.00449455,0.051124322,0.574860562,10.69794417,-0.012191625,-0.005923825,-6.140968793,-0.141202306,-0.003484685,-52.98378129,-0.002011206,-0.004533718,-0.051569848,-0.579870212,-10.79117192,0.01229787,0.005975448,0.02299349,0.000567449,8.627918993,0.000327506,0.000738274,0.008397673,0.094426504,1.757242592,-0.002002594,-0.000973046,0.024678669,375.233116,0.014243435,0.032107957,0.365219585,4.106662476,76.42348218,-0.087093972,-0.042318347,15204.75481,0.577155703,1.301040866,14.79899829,166.4053448,3096.742422,-3.52911947,-1.714774254,3.80E-05,8.56E-05,0.000973314,0.010944296,0.203669343,-0.000232106,-0.000112779,2.254228554,25.641258,288.3196751,5365.523386,-6.114674864,-2.971077381,11.37473747,127.9017048,2380.203807,-2.712535449,-1.318001839,11.24436543,209.2535158,-0.238470159,-0.115870968,18.60963316,-0.021207969,-0.010304803,-0.001139623,-0.000553735,0.485892946,1229890.905,-12270.30503,2516912.245,1387337.015,-21686.31653,22130.11287,-22322.9668,3635.088788,158092.0838,6406021.401,421.3169816,11099294.99,4923766.478,432868.5818,38496.48826,2068.632301,-1815189.725,-3735781.188
PI533750,35.1578885,-0.057390745,-0.137995938,-168.3460126,10.61356768,1.891386838,38.62244169,-0.548374584,-0.025230613,-4.658106011,0.023375702,0.091017529,-11.06578306,7.419905633,-31.2175533,0.345249466,-0.096695497,-0.001632372,-0.003925035,-4.788285638,0.301882967,0.053796941,1.098542698,-0.015597483,-0.000717637,-0.132491063,0.000664878,0.002588822,-0.314745383,0.211045258,-0.887924578,0.009819972,-0.002750322,2.404498096,2933.330304,-184.9351774,-32.95630377,-672.9733417,9.555104748,0.439628592,81.16475891,-0.407307872,-1.585926936,192.8147647,-129.2874937,543.9475146,-6.015768976,1.684862194,1219.934551,-76.91217461,-13.70610517,-279.8810042,3.973845837,0.182835908,33.75538498,-0.169394134,-0.659566726,80.18919417,-53.76901482,226.2208132,-2.501881364,0.700712634,-0.063046148,-0.011235115,-0.229422967,0.003257425,0.000149874,0.027669833,-0.000138855,-0.000540657,0.065732374,-0.044075327,0.185436844,-0.002050832,0.000574385,0.178204624,3.638968806,-0.051667319,-0.002377204,-0.438882208,0.002202436,0.008575583,-1.042607293,0.699096276,-2.94128744,0.032529068,-0.009110555,20.42017049,-0.289932537,-0.013339742,-2.46279921,0.012359028,0.048122112,-5.850618626,3.922997392,-16.5051129,0.182537733,-0.051124125,-0.014198341,-0.000653263,-0.120606202,0.000605236,0.002356597,-0.286511742,0.192113841,-0.80827498,0.00893909,-0.002503609,0.046009814,8.494387142,-0.042627253,-0.165976928,20.17924134,-13.5307249,56.92742559,-0.629586921,0.176331107,184.6212015,-0.92648176,-3.607424457,438.5855881,-294.0834514,1237.288757,-13.68375279,3.832467277,-0.005018285,-0.0195396,2.375597085,-1.592901839,6.701769609,-0.074117992,0.020758544,3.893681034,-473.3882598,317.4195803,-1335.470174,14.76958682,-4.136581467,-121.5785925,81.52172135,-342.9839687,3.793219498,-1.062383238,-0.670526938,2.821088496,-0.031199732,0.008738243,-4.207270934,0.046530169,-0.013031904,-0.011059466,0.003097472,-0.280074285,-186996.4582,-5318.762479,3258303.355,1355086.685,1110.786382,-17618.624,-98867.37837,-4841.652935,341001.3224,7411490.999,40144.31138,-7999608.109,-2054510.382,16898.61956,-25201.99952,5990.106155,-541627.0751,1933869.349
PI533752,25.26433055,0.079628121,0.067844563,74.92118358,5.030848159,6.077001279,31.8752446,0.872101043,0.040682937,18.62000775,-0.075530982,-1.799130178,2.395216454,10.46089834,126.0968309,0.527021835,2.561835287,0.0031518,0.002685389,2.965492532,0.199128497,0.240536802,1.261669868,0.034519064,0.001610292,0.737007763,-0.002989629,-0.071212264,0.094806251,0.414058006,4.991101215,0.020860313,0.101401273,0.852017619,940.8884975,63.17928974,76.31727543,400.3013508,10.95217401,0.510911676,233.8370842,-0.948546581,-22.59415574,30.08003214,131.3719092,1583.57159,6.618539095,32.17249433,1104.306385,74.15256245,89.57241457,469.8275502,12.8543985,0.599649191,274.4509959,-1.11329456,-26.51841373,35.30447195,154.189193,1858.613664,7.76807773,37.7603627,0.067148541,0.081111923,0.425450361,0.011640246,0.00054301,0.248527944,-0.001008139,-0.024013638,0.031969816,0.139625375,1.683059782,0.00703435,0.034193738,1.207947664,6.335958389,0.173350699,0.008086695,3.701166714,-0.015013568,-0.357619654,0.476105893,2.07935084,25.06472606,0.104758048,0.509225325,5.245225915,0.143508451,0.006694574,3.064012478,-0.012428989,-0.296055586,0.394144471,1.721391499,20.74984439,0.086723996,0.421562407,0.027359823,0.001276318,0.584152623,-0.002369581,-0.056442867,0.075143469,0.328182528,3.955948653,0.016533891,0.080370686,0.046649339,21.35074589,-0.086608063,-2.062983634,2.746489612,11.99505313,144.5897032,0.604312814,2.937544117,457.6859274,-1.856576441,-44.22321275,58.87520987,257.1323291,3099.501664,12.95437041,62.97075571,-0.004056442,-0.096623492,0.128636706,0.561809559,6.772114847,0.028304061,0.137585082,23.81976403,-31.71170794,-138.4981105,-1669.471612,-6.977558326,-33.91767466,-1.331319147,-5.814419919,-70.08766373,-0.292931463,-1.423929918,4.367412526,52.64527585,0.220030985,1.069563163,12.05411111,0.05038017,0.244896299,0.004179501,0.020316413,4.860966125,-787050.9745,-31152.65504,-9884083.158,-11600796.67,-10505.0526,-156444.9869,-129513.0507,-24691.60581,-902476.8187,-19345972.36,-42269.10027,10420240.14,437461.9381,-328592.839,-75237.41735,-6241.639609,-1493393.484,-307221.537
PI533754,-17.55383987,0.042850806,0.026698075,-243.5229783,24.34446734,-10.42924004,-44.44243329,0.542821208,0.033576016,-7.684520139,-0.019624769,-0.17642816,54.19353998,-12.35499068,128.2936007,-0.336804377,-0.134972327,-0.002441107,-0.001520925,13.87291784,-1.386845699,0.594128699,2.531778438,-0.030923217,-0.001912745,0.437768613,0.001117976,0.010050688,-3.087275511,0.703834076,-7.308577589,0.019186935,0.007689049,0.623047205,-5683.043063,568.1215677,-243.3849187,-1037.143451,12.66770109,0.783556232,-179.3319841,-0.457978996,-4.117265808,1264.702918,-288.3257446,2993.960005,-7.859930887,-3.149819989,-9121.368354,911.8435373,-390.6364021,-1664.630613,20.33184802,1.257619367,-287.8304926,-0.735063077,-6.608272652,2029.86693,-462.7670938,4805.350187,-12.61530558,-5.055507771,-0.099967845,0.042826513,0.182497905,-0.002229035,-0.000137876,0.031555626,8.06E-05,0.000724483,-0.222539739,0.050734394,-0.526823389,0.00138305,0.000554249,-0.428402885,-1.825566059,0.022297518,0.001379205,-0.315657765,-0.000806129,-0.007247156,2.226113195,-0.507507127,5.269928437,-0.013834945,-0.005544271,4.261329983,-0.052048012,-0.003219412,0.736824554,0.001881707,0.016916684,-5.196307665,1.184649181,-12.30133741,0.03229424,0.012941722,-0.01221403,-0.000755495,0.172909527,0.000441577,0.003969813,-1.219409829,0.27799987,-2.886736644,0.007578441,0.003037015,0.061854651,-14.15663211,-0.036153284,-0.325020758,99.83681407,-22.76070003,236.3459624,-0.620470189,-0.248649693,-228.8693226,-0.58448772,-5.254588808,1614.055082,-367.9707119,3820.989333,-10.03109996,-4.019902924,0.002553805,0.022958904,-7.052299817,1.607776472,-16.69506988,0.043828941,0.017564184,8.990075624,-2761.486726,629.5610652,-6537.330383,17.16220821,6.87765163,-307.1705781,70.02845043,-727.1719011,1.909017113,0.765027116,-0.22797903,2.367322761,-0.006214844,-0.002490561,-10.38394962,0.027260593,0.010924519,-0.002625262,-0.001052058,0.40074398,293493.8464,-16719.6379,6849202.4,10993071.38,-1205.199807,12055.87464,-28141.44129,-6603.910376,540682.3504,8741175.321,-38192.86579,-14955276.24,-1663531.751,5415.661101,-23755.08441,2287.673311,-871407.4587,-2174474.232
PI533755,-20.8775764,0.158843583,0.132751605,-12.98528464,-11.83941064,16.55027532,-38.94895997,3.152157206,0.098601879,16.22579637,-0.242089048,-0.484435028,4.39265363,-14.83235078,203.9573368,0.583415454,0.585694844,-0.007608334,-0.006358574,0.621972799,0.567087406,-0.792729721,1.86558819,-0.150982908,-0.00472286,-0.777187738,0.011595649,0.023203605,-0.210400553,0.710444091,-9.769205623,-0.027944597,-0.028053776,0.835737913,-81.74887749,-74.53502619,104.1922813,-245.2032317,19.84441007,0.620748266,102.1495237,-1.524071938,-3.04976139,27.65395704,-93.37708496,1284.013697,3.6728928,3.687242702,-97.81640419,-89.1846894,124.671,-293.3972815,23.74477664,0.742754703,122.2267437,-1.823624266,-3.649183964,33.0892695,-111.7301052,1536.38321,4.394790212,4.41196055,0.911755959,-1.274540819,2.999469096,-0.242748411,-0.007593355,-1.249552615,0.018643338,0.037306462,-0.338279349,1.142243023,-15.70680524,-0.044928969,-0.045104506,-1.39789689,3.289771859,-0.266242746,-0.008328276,-1.370490209,0.020447728,0.040917157,-0.371019619,1.252794689,-17.22698392,-0.049277407,-0.049469932,-2.353372328,0.190459503,0.005957718,0.980394348,-0.014627494,-0.029270512,0.265412722,-0.89619964,12.32350114,0.035251103,0.035388828,-0.080930459,-0.002531566,-0.416591262,0.006215546,0.012437688,-0.112779741,0.380815066,-5.236528445,-0.014978974,-0.015037496,0.031280762,5.147521306,-0.076801071,-0.153683651,1.393538882,-4.705460359,64.70404979,0.185084504,0.185807625,164.5586936,-2.455217392,-4.913040532,44.54939074,-150.4266546,2068.493411,5.91687968,5.939996785,-0.01492001,-0.029855855,0.270720372,-0.91412159,12.56994307,0.035956044,0.036096524,2.00106131,-18.1447846,61.26816104,-842.4889043,-2.409920889,-2.419336391,-9.067580543,30.61783301,-421.0210352,-1.204321365,-1.209026619,-3.376626529,46.43146352,0.132816175,0.133335085,-13.75084367,-0.039333984,-0.039487661,0.002860478,0.002871654,1.003906976,280506.0351,-13435.75661,1765926.134,2113014.268,-21601.83954,-23692.56744,16948.72319,-7201.887684,88988.59315,2844834.584,17287.65902,-1158689.488,-579037.475,63857.99081,-18911.77193,1375.317209,480799.8029,478928.6404
PI533757,230.3033917,0.046087897,0.029897525,-12.32058507,-23.7327122,6.097313799,-80.03505704,0.642672761,0.019426046,-5.700350853,0.056526212,0.178147681,2.714733853,13.10165285,95.1828382,0.237889664,0.256873345,0.000200118,0.000129818,-0.053497193,-0.103049773,0.026475137,-0.347520097,0.002790548,8.43E-05,-0.024751485,0.000245442,0.000773535,0.011787642,0.056888667,0.413293254,0.00103294,0.001115369,0.648706642,-267.3279937,-514.9445664,132.297505,-1736.574286,13.94450173,0.42149994,-123.6843338,1.226487123,3.865389661,58.90340031,284.2753448,2065.245849,5.161651511,5.573553161,-412.0938128,-793.8019016,203.9404198,-2676.97935,21.49585162,0.649754315,-190.662968,1.890665276,5.958609651,90.80129052,438.2186434,3183.636043,7.956834681,8.591792956,1.926265032,-0.494888332,6.496043538,-0.05216252,-0.001576715,0.462668844,-0.004587949,-0.014459352,-0.22034131,-1.063395348,-7.725512843,-0.019308309,-0.020849119,-0.256916013,3.372351898,-0.027079617,-0.000818535,0.240189609,-0.002381785,-0.007506419,-0.114387847,-0.552050382,-4.010617809,-0.010023703,-0.010823598,-13.12628145,0.105402606,0.003186001,-0.934895438,0.009270675,0.029217404,0.4452344,2.148758171,15.61061827,0.039015486,0.042128936,-0.008029891,-0.000242719,0.071223175,-0.000706268,-0.002225871,-0.033919309,-0.163698926,-1.189264326,-0.002972318,-0.00320951,0.030226963,-8.869756426,0.087954891,0.27719812,4.224130876,20.38619596,148.1046715,0.370156755,0.399695397,-293.4385562,2.909815653,9.170558034,139.7471143,674.4374503,4899.753601,12.2459128,13.22314106,-0.009916269,-0.031252055,-0.476239783,-2.298394114,-16.69771575,-0.04173246,-0.045062725,3.151594165,48.02610577,231.78013,1683.870796,4.208484062,4.544322607,15.23867074,73.5437743,534.2917609,1.335350887,1.441912369,4.82612792,35.06157264,0.087629092,0.094621926,7.264948882,0.018157225,0.019606179,0.002499292,0.002698736,1.07980036,362490.3661,1573.968856,7865196.477,12124427.22,-29421.52211,-15273.87022,59450.82999,-4529.144846,564035.6772,18660018.02,-63590.88685,6412783.574,2034774.542,133527.0364,27667.52946,3808.358449,1523775.183,1411163.803
