Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G181600	alpha-Tocopherol	64	SNP_15377126	3.191745e-06	1
1	SORBI_3001G181700	alpha-Tocopherol	71	SNP_15389258	3.191745e-06	1
1	SORBI_3001G181800	alpha-Tocopherol	77	SNP_15390557	3.191745e-06	1
1	SORBI_3001G181900	alpha-Tocopherol	73	SNP_15395412	3.191745e-06	1
1	SORBI_3001G182000	alpha-Tocopherol	33	SNP_15402948	3.191745e-06	1
1	SORBI_3001G182100	alpha-Tocopherol	41	SNP_15402948	3.191745e-06	1
1	SORBI_3001G182400	alpha-Tocopherol	254	SNP_15444044	7.808837e-06	1
1	SORBI_3001G182500	alpha-Tocopherol	260	SNP_15447064	7.808837e-06	1
1	SORBI_3001G246800	alpha-Tocopherol	5	SNP_26035805	1.019237e-06	1
1	SORBI_3001G427000	alpha-Tocopherol	2	SNP_70623357	5.388171e-06	1
1	SORBI_3001G427100	alpha-Tocopherol	2	SNP_70623357	5.388171e-06	1
1	SORBI_3001G427200	alpha-Tocopherol	1	SNP_70639899	5.388171e-06	1
1	SORBI_3001G427300	alpha-Tocopherol	1	SNP_70639899	5.388171e-06	1
1	SORBI_3001G458100	alpha-Tocopherol	10	SNP_73433195	2.875279e-11	1
1	SORBI_3001G458200	alpha-Tocopherol	11	SNP_73442212	2.875279e-11	1
1	SORBI_3001G458300	alpha-Tocopherol	13	SNP_73447722	2.875279e-11	1
1	SORBI_3001G458400	alpha-Tocopherol	21	SNP_73454648	2.875279e-11	1
2	SORBI_3002G146300	alpha-Tocopherol	15	SNP_29512461	1.20934e-08	1
3	SORBI_3003G205700	alpha-Tocopherol	61	SNP_53593843	1.378966e-07	1
3	SORBI_3003G205801	alpha-Tocopherol	47	SNP_53602684	1.378966e-07	1
3	SORBI_3003G205900	alpha-Tocopherol	31	SNP_53610504	1.378966e-07	1
3	SORBI_3003G418400	alpha-Tocopherol	23	SNP_72402334	5.079356e-06	1
3	SORBI_3003G418500	alpha-Tocopherol	23	SNP_72402334	5.079356e-06	1
3	SORBI_3003G418600	alpha-Tocopherol	36	SNP_72419784	5.079356e-06	1
3	SORBI_3003G418700	alpha-Tocopherol	57	SNP_72419784	5.079356e-06	1
4	SORBI_3004G129900	alpha-Tocopherol	9	SNP_16567855	2.26864e-06	1
4	SORBI_3004G130001	alpha-Tocopherol	9	SNP_16567855	2.26864e-06	1
5	SORBI_3005G043100	alpha-Tocopherol	5	SNP_4093703	3.140793e-06	1
5	SORBI_3005G052250	alpha-Tocopherol	7	SNP_5267538	3.361876e-06	1
5	SORBI_3005G052300	alpha-Tocopherol	7	SNP_5267538	3.361876e-06	1
5	SORBI_3005G052400	alpha-Tocopherol	7	SNP_5267538	3.361876e-06	1
5	SORBI_3005G160100	alpha-Tocopherol	10	SNP_63401101	1.000672e-09	1
5	SORBI_3005G160200	alpha-Tocopherol	10	SNP_63401101	1.000672e-09	1
5	SORBI_3005G160300	alpha-Tocopherol	10	SNP_63401101	1.000672e-09	1
5	SORBI_3005G160400	alpha-Tocopherol	13	SNP_63401101	1.000672e-09	1
5	SORBI_3005G212800	alpha-Tocopherol	10	SNP_69897984	1.998669e-07	1
6	SORBI_3006G050100	alpha-Tocopherol	58	SNP_37253212	1.000672e-09	1
8	SORBI_3008G074700	alpha-Tocopherol	6	SNP_10797842	9.631788e-06	1
8	SORBI_3008G088836	alpha-Tocopherol	8	SNP_21314792	1.36915e-07	1
8	SORBI_3008G172600	alpha-Tocopherol	11	SNP_60613379	6.392978e-06	1
8	SORBI_3008G172700	alpha-Tocopherol	7	SNP_60619026	6.392978e-06	1
9	SORBI_3009G108900	alpha-Tocopherol	14	SNP_43757555	3.442574e-06	1
9	SORBI_3009G109000	alpha-Tocopherol	17	SNP_43757555	3.442574e-06	1
10	SORBI_3010G153201	alpha-Tocopherol	18	SNP_44556752	9.905188e-07	1
10	SORBI_3010G153300	alpha-Tocopherol	20	SNP_44556752	9.905188e-07	1
10	SORBI_3010G228100	alpha-Tocopherol	10	SNP_57117354	9.86723e-06	1
10	SORBI_3010G228200	alpha-Tocopherol	13	SNP_57127201	9.86723e-06	1
10	SORBI_3010G228300	alpha-Tocopherol	9	SNP_57129697	9.86723e-06	1
