Chromosome	gene	max_pvalue	phenotype	phenotype_number	log10
8	SORBI_3008G092800	7.40E-08	"FA_18_4_,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PS,Sum_AEG_Sum_TG,Sum_Cer,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PC,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PE,Sum_LPC_Sum_PS,Sum_LPC_Sum_TG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_SQDG,TG_52_6_,TG_56_5_"	48	7.130764407
9	SORBI_3009G090800	7.70E-08	"SQDG_34_1_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_SQDG,Sum_PE_Sum_PG,Sum_PS_Sum_SQDG,TG_58_5_,TG_58_6_,TG_60_6_"	27	7.113571829
4	SORBI_3004G139400	6.28E-08	"Sum_AEG_Sum_LPE,Sum_AEG_Sum_PA,Sum_AEG_Sum_PE,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PA,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_PA_Sum_PE,Sum_PC_Sum_PE"	25	7.202365784
3	SORBI_3003G169600	6.38E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	24	7.195061642
5	SORBI_3005G110493	6.21E-08	"FA_22_0__amide,PC_32_3_,Sum_AEG_Sum_Cer,Sum_AEG_Sum_LPE,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_SQDG_Sum_TG,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_"	22	7.206960504
3	SORBI_3003G180300	8.13E-08	"DG_16_0_,PC_38_3_,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_PC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPE_Sum_MG,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_SQDG_Sum_TG,TG_24_0_,TG_28_0_,TG_56_5_"	21	7.090081764
6	SORBI_3006G038200	8.96E-08	"Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_AEG_Sum_PS,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_PS,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PS,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_LPC_Sum_PS,Sum_LPE_Sum_PE,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PS,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,TG_54_6_"	21	7.047621326
3	SORBI_3003G169700	6.18E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	20	7.208966622
3	SORBI_3003G169800	6.18E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	20	7.208966622
3	SORBI_3003G175950	3.32E-08	"AEG_o_30_2_,Sum_AEG_Sum_Cer,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,TG_52_5_,TG_52_6_,TG_56_4_,TG_56_5_"	19	7.47842222
