Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number			Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
10	SORBI_3010G064100	TG(10:0_16:0_16:0);TG(12:0_14:0_16:0);TG(12:0_14:0_18:1);TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_22:6);TG(16:0_16:0_20:1);TG(16:0_18:1_20:0);TG(16:1_16:1_22:5);TG(18:0_18:2_18:2);TG(18:1_18:2_18:2);TG(18:3_18:3_20:3)	3;15;3;14;9;6;14;51;29;18;22;12;4;16;6;1	SNP_5083051;SNP_5067529;SNP_5083051;SNP_5062845;SNP_5073493;SNP_5069035;SNP_5062845;SNP_5059756;SNP_5062212;SNP_5067711;SNP_5063018;SNP_5069866;SNP_5077738;SNP_5067529;SNP_5075244;SNP_5077738	4.76326e-09;2.384248e-11;6.495844e-08;1.684132e-12;1.934048e-12;6.092287e-12;1.684085e-12;7.948868e-13;9.058486e-08;1.656292e-09;1.668824e-08;2.323121e-10;8.897315e-09;3.397631e-16;3.021232e-10;1.103195e-08	16			1	SORBI_3001G111366	AEG(o-15:2_15:0)	30	SNP_8680548	1.16E-08	1
10	SORBI_3010G064200	TG(10:0_16:0_16:0);TG(12:0_14:0_16:0);TG(12:0_14:0_18:1);TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_22:6);TG(16:0_16:0_20:1);TG(16:0_18:1_20:0);TG(16:1_16:1_22:5);TG(18:0_18:2_18:2);TG(18:1_18:2_18:2);TG(18:3_18:3_20:3)	4;16;4;29;23;8;29;32;40;36;48;44;5;34;6;2	SNP_5083051;SNP_5067529;SNP_5083051;SNP_5069890;SNP_5073493;SNP_5069035;SNP_5069890;SNP_5064760;SNP_5064460;SNP_5067711;SNP_5067529;SNP_5069866;SNP_5077738;SNP_5067529;SNP_5075244;SNP_5077738	4.76326e-09;2.384248e-11;6.495844e-08;1.684132e-12;1.934048e-12;6.092287e-12;1.684085e-12;7.948868e-13;9.058486e-08;1.656292e-09;1.668824e-08;2.323121e-10;8.897315e-09;3.397631e-16;3.021232e-10;1.103195e-08	16			1	SORBI_3001G111432	AEG(o-15:2_15:0)	30	SNP_8704945	9.19E-08	1
10	SORBI_3010G064300	TG(10:0_16:0_16:0);TG(12:0_14:0_16:0);TG(12:0_14:0_18:1);TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_22:6);TG(16:0_16:0_20:1);TG(16:0_18:1_20:0);TG(16:1_16:1_22:5);TG(18:0_18:2_18:2);TG(18:1_18:2_18:2);TG(18:3_18:3_20:3)	4;10;4;14;11;7;14;12;14;19;19;16;4;14;6;1	SNP_5083051;SNP_5069035;SNP_5083051;SNP_5069890;SNP_5073493;SNP_5069035;SNP_5069890;SNP_5069890;SNP_5069890;SNP_5069866;SNP_5069890;SNP_5069866;SNP_5077738;SNP_5069035;SNP_5075244;SNP_5077738	4.76326e-09;2.384248e-11;6.495844e-08;1.684132e-12;1.934048e-12;6.092287e-12;1.684085e-12;7.948868e-13;9.058486e-08;1.656292e-09;1.668824e-08;2.323121e-10;8.897315e-09;3.397631e-16;3.021232e-10;1.103195e-08	16			1	SORBI_3001G111500	AEG(o-15:2_15:0)	52	SNP_8698189	1.16E-08	1
1	SORBI_3001G057100	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	8;22;8;13;49;9;13;17;19;19;6;9;19	SNP_4294935;SNP_4287447;SNP_4303626;SNP_4294935;SNP_4293444;SNP_4296584;SNP_4293444;SNP_4293444;SNP_4293444;SNP_4295123;SNP_4303626;SNP_4296476;SNP_4296584	4.517329e-15;8.04332e-10;4.753417e-12;1.517886e-18;2.681153e-30;2.283938e-09;2.260136e-13;3.343361e-39;6.983884e-67;2.33134e-15;3.14031e-08;3.876274e-24;3.823809e-10	13			1	SORBI_3001G259000	AEG(o-15:2_15:0)	17	SNP_31003332	6.75E-11	1
3	SORBI_3003G169600	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	55;40;47;52;49;46;58;66;72;70;34;65;47	SNP_29144290;SNP_29126774;SNP_29137119;SNP_29137353;SNP_29144290;SNP_29136879;SNP_29138063;SNP_29136879;SNP_29136824;SNP_29136879;SNP_29136879;SNP_29136879;SNP_29136879	4.517329e-15;8.04332e-10;4.753417e-12;1.517886e-18;2.681153e-30;2.283938e-09;2.260136e-13;3.343361e-39;6.983884e-67;2.33134e-15;3.14031e-08;3.876274e-24;3.823809e-10	13			1	SORBI_3001G259100	AEG(o-15:2_15:0)	31	SNP_31003332	6.75E-11	1
3	SORBI_3003G169700	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	40;35;36;34;39;34;50;58;61;55;26;54;36	SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29151070;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290;SNP_29144290	4.517329e-15;8.04332e-10;4.753417e-12;1.517886e-18;2.681153e-30;2.283938e-09;2.260136e-13;3.343361e-39;6.983884e-67;2.33134e-15;3.14031e-08;3.876274e-24;3.823809e-10	13			1	SORBI_3001G259200	AEG(o-15:2_15:0)	33	SNP_31010473	6.75E-11	1
3	SORBI_3003G169800	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	28;28;24;19;25;34;38;45;47;45;24;42;35	SNP_29150223;SNP_29151063;SNP_29151117;SNP_29151218;SNP_29151202;SNP_29151070;SNP_29150263;SNP_29151063;SNP_29151063;SNP_29151063;SNP_29151063;SNP_29151063;SNP_29150263	4.517329e-15;8.04332e-10;4.753417e-12;1.517886e-18;2.681153e-30;2.283938e-09;2.260136e-13;3.343361e-39;6.983884e-67;2.33134e-15;3.14031e-08;3.876274e-24;3.823809e-10	13			1	SORBI_3001G259250	AEG(o-15:2_15:0)	39	SNP_31010473	6.75E-11	1
5	SORBI_3005G041700	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	45;20;21;15;40;37;10;50;71;17;62;27;85	SNP_3848406;SNP_3850277;SNP_3850986;SNP_3850986;SNP_3848349;SNP_3854696;SNP_3851091;SNP_3850807;SNP_3850986;SNP_3850986;SNP_3850986;SNP_3850986;SNP_3848406	4.960054e-15;8.022854e-10;5.134263e-12;1.703396e-18;2.931123e-30;2.280158e-09;2.266201e-13;3.34335e-39;7.686025e-67;2.336293e-15;3.122814e-08;3.984872e-24;3.888805e-10	13			1	SORBI_3001G261517	AEG(o-15:2_15:0)	32	SNP_36778330	9.51E-08	1
5	SORBI_3005G041800	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	40;17;20;12;32;37;9;46;69;16;63;25;81	SNP_3854183;SNP_3853872;SNP_3867080;SNP_3854196;SNP_3853714;SNP_3854696;SNP_3854682;SNP_3854615;SNP_3854615;SNP_3854189;SNP_3854843;SNP_3854189;SNP_3854843	4.960054e-15;8.022854e-10;5.134263e-12;1.703396e-18;2.931123e-30;2.280158e-09;2.266201e-13;3.34335e-39;7.686025e-67;2.336293e-15;3.122814e-08;3.984872e-24;3.888805e-10	13			1	SORBI_3001G261541	AEG(o-15:2_15:0)	22	SNP_38144102	6.23E-08	1
5	SORBI_3005G041900	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	22;19;23;11;20;33;5;38;69;10;63;17;80	SNP_3863979;SNP_3869181;SNP_3867080;SNP_3866404;SNP_3866404;SNP_3870892;SNP_3870892;SNP_3867080;SNP_3867080;SNP_3874674;SNP_3867962;SNP_3871035;SNP_3864748	4.960054e-15;8.022854e-10;5.134263e-12;1.703396e-18;2.931123e-30;2.280158e-09;2.266201e-13;3.34335e-39;7.686025e-67;2.336293e-15;3.122814e-08;3.984872e-24;3.888805e-10	13			1	SORBI_3001G261600	AEG(o-15:2_15:0)	147	SNP_45845293	7.17E-08	1
5	SORBI_3005G042000	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	22;21;24;11;20;33;5;38;71;10;64;17;81	SNP_3863979;SNP_3869181;SNP_3867080;SNP_3866404;SNP_3866404;SNP_3870892;SNP_3870892;SNP_3867080;SNP_3867080;SNP_3874674;SNP_3867962;SNP_3871035;SNP_3864748	4.960054e-15;8.022854e-10;5.134263e-12;1.703396e-18;2.931123e-30;2.280158e-09;2.266201e-13;3.34335e-39;7.686025e-67;2.336293e-15;3.122814e-08;3.984872e-24;3.888805e-10	13			1	SORBI_3001G262700	AEG(o-15:2_15:0)	114	SNP_46770289	8.95E-08	1
5	SORBI_3005G042100	AEG(o-15:2_15:0);DG(18:0_20:3);PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4);TG(14:0_18:1_18:1);TG(14:0_18:1_18:3);TG(16:1_16:1_22:5);TG(18:1_18:2_18:2);TG(18:2_18:2_22:1);TG(18:2_18:3_22:1);TG(18:3_18:3_20:3);TG(8:0_10:0_10:0)	8;25;25;11;20;40;6;39;75;15;70;20;81	SNP_3865765;SNP_3869181;SNP_3867080;SNP_3866404;SNP_3866404;SNP_3870892;SNP_3870892;SNP_3867080;SNP_3867080;SNP_3874674;SNP_3867962;SNP_3871035;SNP_3866182	4.960054e-15;8.022854e-10;5.134263e-12;1.703396e-18;2.931123e-30;2.280158e-09;2.266201e-13;3.34335e-39;7.686025e-67;2.336293e-15;3.122814e-08;3.984872e-24;3.888805e-10	13			1	SORBI_3001G434600	AEG(o-15:2_15:0)	14	SNP_71326418	5.79E-08	1
5	SORBI_3005G111700	TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_14:1_18:1);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_18:2);TG(14:0_16:1_22:6);TG(16:0_18:1_18:2);TG(16:0_18:1_20:0)	53;110;37;53;136;38;43;37;56;32;59	SNP_36855906;SNP_36853781;SNP_36855906;SNP_36855906;SNP_36853378;SNP_36855906;SNP_36855440;SNP_36855116;SNP_36855906;SNP_36855906;SNP_36855906	4.183575e-10;1.764937e-08;3.524445e-13;4.18366e-10;3.009075e-08;6.095292e-12;2.857986e-08;5.508157e-08;1.85871e-12;8.618054e-08;3.835956e-11	11			1	SORBI_3001G434650	AEG(o-15:2_15:0)	28	SNP_71326418	3.57E-08	1
10	SORBI_3010G170150	TG(16:1_20:1_20:2);TG(18:0_18:1_22:0);TG(18:0_18:2_18:3);TG(18:0_18:2_20:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0);TG(18:2_18:2_18:4);TG(18:2_20:3_22:0);TG(18:3_18:3_18:3)	26;96;12;12;11;12;8;168;150;163	SNP_50153341;SNP_50153341;SNP_50153341;SNP_50153341;SNP_50153341;SNP_50153341;SNP_50153341;SNP_50153355;SNP_50154220;SNP_50153355	6.027246e-08;4.069227e-08;4.517072e-09;7.591766e-09;4.044544e-09;7.591783e-09;1.787873e-08;2.304674e-08;5.492125e-11;2.31553e-08	10			1	SORBI_3001G434700	AEG(o-15:2_15:0)	47	SNP_71326418	1.46E-08	1
1	SORBI_3001G311900	AEG(o-16:2_18:2);DG(18:0_18:2_0:0);PC(14:0_18:0);PC(14:0_18:2);PC(16:0_16:0);PC(16:0_22:6);PC(18:3_0:0);PE(18:0_18:3);PE(18:1_18:1)	149;130;158;211;157;173;160;175;157	SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859;SNP_59863859	8.108799e-08;5.330221e-09;1.302629e-09;2.116827e-08;2.329328e-08;1.389286e-08;9.327851e-09;5.251615e-10;3.755925e-08	9			1	SORBI_3001G434800	AEG(o-15:2_15:0)	63	SNP_71330086	1.46E-08	1
4	SORBI_3004G137300	TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_18:2);TG(14:0_16:1_22:6);TG(16:0_18:1_20:0)	8;4;10;8;9;10;5;11;8	SNP_37593610;SNP_37593610;SNP_37590030;SNP_37593610;SNP_37593610;SNP_37590082;SNP_37594583;SNP_37581516;SNP_37590114	5.304023e-10;2.654693e-08;8.886497e-13;5.30414e-10;4.80574e-13;2.178524e-11;8.383339e-11;1.081885e-12;3.275595e-08	9			1	SORBI_3001G434900	AEG(o-15:2_15:0)	70	SNP_71335035	1.46E-08	1
4	SORBI_3004G137400	TG(12:0_16:0_16:0);TG(12:0_16:0_18:3);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(14:0_16:1_18:2);TG(14:0_16:1_22:6);TG(16:0_18:1_20:0)	8;4;10;8;9;10;5;11;8	SNP_37593610;SNP_37593610;SNP_37590030;SNP_37593610;SNP_37593610;SNP_37590082;SNP_37594583;SNP_37581516;SNP_37590114	5.304023e-10;2.654693e-08;8.886497e-13;5.30414e-10;4.80574e-13;2.178524e-11;8.383339e-11;1.081885e-12;3.275595e-08	9			1	SORBI_3001G435000	AEG(o-15:2_15:0)	56	SNP_71344736	6.69E-09	1
