Chromosome	gene	SNP	pvalue	phenotype	phenotype_number
1	SORBI_3001G331100	SNP_61883624,SNP_61884154,SNP_61887627,SNP_61888402,SNP_61888414,SNP_61888577,SNP_61889935,SNP_61890024,SNP_61890041,SNP_61890303,SNP_61891934,SNP_61892524,SNP_61893242,SNP_61893653,SNP_61893656,SNP_61893666,SNP_61893668,SNP_61893669,SNP_61893672,SNP_61893924,SNP_61893980,SNP_61895188,SNP_61895582,SNP_61896218,SNP_61896710,SNP_61896721,SNP_61896732,SNP_61896747,SNP_61896759,SNP_61896761,SNP_61896767,SNP_61896779,SNP_61896887,SNP_61896906,SNP_61897075,SNP_61897233,SNP_61898267,SNP_61899303,SNP_61899360	6.191504e-06	beta-Carotene	1
1	SORBI_3001G331200	SNP_61887627,SNP_61888402,SNP_61888414,SNP_61888577,SNP_61889935,SNP_61890024,SNP_61890041,SNP_61890303,SNP_61891934,SNP_61892524,SNP_61893242,SNP_61893653,SNP_61893656,SNP_61893666,SNP_61893668,SNP_61893669,SNP_61893672,SNP_61893924,SNP_61893980,SNP_61895188,SNP_61895582,SNP_61896218,SNP_61896710,SNP_61896721,SNP_61896732,SNP_61896747,SNP_61896759,SNP_61896761,SNP_61896767,SNP_61896779,SNP_61896887,SNP_61896906,SNP_61897075,SNP_61897233,SNP_61898267,SNP_61899303,SNP_61899360,SNP_61900557,SNP_61901373,SNP_61901784,SNP_61905407,SNP_61905976,SNP_61907302,SNP_61907670,SNP_61907709,SNP_61907813,SNP_61912562,SNP_61913412	6.191504e-06	beta-Carotene	1
1	SORBI_3001G420700	SNP_70168827,SNP_70171571,SNP_70175580,SNP_70176719,SNP_70178078,SNP_70178913,SNP_70179126,SNP_70180599,SNP_70180733,SNP_70180766,SNP_70180915,SNP_70180985,SNP_70181020,SNP_70181024,SNP_70182229,SNP_70182258,SNP_70182286,SNP_70182393,SNP_70182826,SNP_70182960,SNP_70183006,SNP_70183120,SNP_70183352,SNP_70183577,SNP_70183593,SNP_70183678,SNP_70183684,SNP_70183763,SNP_70184183,SNP_70184195,SNP_70184296,SNP_70184812,SNP_70184898,SNP_70184899,SNP_70184911,SNP_70185574,SNP_70185624,SNP_70185978,SNP_70185983,SNP_70185998,SNP_70186014,SNP_70186032,SNP_70186098,SNP_70186099,SNP_70186103,SNP_70186125,SNP_70186142,SNP_70186143,SNP_70186154,SNP_70186169,SNP_70186178,SNP_70186671,SNP_70186945,SNP_70187224	9.008358e-06	beta-Carotene	1
1	SORBI_3001G420800	SNP_70168827,SNP_70171571,SNP_70175580,SNP_70176719,SNP_70178078,SNP_70178913,SNP_70179126,SNP_70180599,SNP_70180733,SNP_70180766,SNP_70180915,SNP_70180985,SNP_70181020,SNP_70181024,SNP_70182229,SNP_70182258,SNP_70182286,SNP_70182393,SNP_70182826,SNP_70182960,SNP_70183006,SNP_70183120,SNP_70183352,SNP_70183577,SNP_70183593,SNP_70183678,SNP_70183684,SNP_70183763,SNP_70184183,SNP_70184195,SNP_70184296,SNP_70184812,SNP_70184898,SNP_70184899,SNP_70184911,SNP_70185574,SNP_70185624,SNP_70185978,SNP_70185983,SNP_70185998,SNP_70186014,SNP_70186032,SNP_70186098,SNP_70186099,SNP_70186103,SNP_70186125,SNP_70186142,SNP_70186143,SNP_70186154,SNP_70186169,SNP_70186178,SNP_70186671,SNP_70186945,SNP_70187224,SNP_70193455,SNP_70193812	9.008358e-06	beta-Carotene	1
1	SORBI_3001G420900	SNP_70176719,SNP_70178078,SNP_70178913,SNP_70179126,SNP_70180599,SNP_70180733,SNP_70180766,SNP_70180915,SNP_70180985,SNP_70181020,SNP_70181024,SNP_70182229,SNP_70182258,SNP_70182286,SNP_70182393,SNP_70182826,SNP_70182960,SNP_70183006,SNP_70183120,SNP_70183352,SNP_70183577,SNP_70183593,SNP_70183678,SNP_70183684,SNP_70183763,SNP_70184183,SNP_70184195,SNP_70184296,SNP_70184812,SNP_70184898,SNP_70184899,SNP_70184911,SNP_70185574,SNP_70185624,SNP_70185978,SNP_70185983,SNP_70185998,SNP_70186014,SNP_70186032,SNP_70186098,SNP_70186099,SNP_70186103,SNP_70186125,SNP_70186142,SNP_70186143,SNP_70186154,SNP_70186169,SNP_70186178,SNP_70186671,SNP_70186945,SNP_70187224,SNP_70193455,SNP_70193812	9.008358e-06	beta-Carotene	1
1	SORBI_3001G516600	SNP_78321035,SNP_78321221,SNP_78321289,SNP_78322772,SNP_78322792,SNP_78322819,SNP_78322823,SNP_78322938,SNP_78322982,SNP_78323740,SNP_78323865,SNP_78325146,SNP_78326859,SNP_78327781,SNP_78327825,SNP_78328406,SNP_78328437,SNP_78328477,SNP_78328483,SNP_78328510,SNP_78328571,SNP_78328576,SNP_78328583,SNP_78328585,SNP_78328668,SNP_78328716,SNP_78328784,SNP_78328840,SNP_78328844,SNP_78328940,SNP_78328942,SNP_78328943,SNP_78328953,SNP_78328968,SNP_78328971,SNP_78328973,SNP_78328987,SNP_78329044,SNP_78329094,SNP_78329126,SNP_78329151,SNP_78329152,SNP_78329187,SNP_78329197,SNP_78329213,SNP_78329746,SNP_78329877,SNP_78329907,SNP_78329913,SNP_78329932,SNP_78329959,SNP_78330032,SNP_78330046,SNP_78330068,SNP_78330100,SNP_78330134,SNP_78330222,SNP_78330246,SNP_78330251,SNP_78330297,SNP_78330325,SNP_78330346,SNP_78330369,SNP_78330411,SNP_78330437,SNP_78330458,SNP_78330490,SNP_78330532,SNP_78330552,SNP_78330596,SNP_78331420,SNP_78331483,SNP_78331539,SNP_78331563,SNP_78331590,SNP_78331736,SNP_78331897,SNP_78331908,SNP_78331954,SNP_78332004,SNP_78332053,SNP_78332064,SNP_78332090,SNP_78332094,SNP_78332102,SNP_78332111,SNP_78332128,SNP_78332132,SNP_78332156,SNP_78332201,SNP_78332226,SNP_78332255,SNP_78332297,SNP_78332343,SNP_78332403,SNP_78332432,SNP_78332468,SNP_78332469,SNP_78332504,SNP_78332691,SNP_78333127,SNP_78333187,SNP_78333217,SNP_78334392,SNP_78336613,SNP_78336713,SNP_78336931,SNP_78337521,SNP_78338132,SNP_78338142,SNP_78338205,SNP_78338277,SNP_78338594,SNP_78338607,SNP_78344815	3.655621e-06	beta-Carotene	1
1	SORBI_3001G516800	SNP_78327781,SNP_78327825,SNP_78328406,SNP_78328437,SNP_78328477,SNP_78328483,SNP_78328510,SNP_78328571,SNP_78328576,SNP_78328583,SNP_78328585,SNP_78328668,SNP_78328716,SNP_78328784,SNP_78328840,SNP_78328844,SNP_78328940,SNP_78328942,SNP_78328943,SNP_78328953,SNP_78328968,SNP_78328971,SNP_78328973,SNP_78328987,SNP_78329044,SNP_78329094,SNP_78329126,SNP_78329151,SNP_78329152,SNP_78329187,SNP_78329197,SNP_78329213,SNP_78329746,SNP_78329877,SNP_78329907,SNP_78329913,SNP_78329932,SNP_78329959,SNP_78330032,SNP_78330046,SNP_78330068,SNP_78330100,SNP_78330134,SNP_78330222,SNP_78330246,SNP_78330251,SNP_78330297,SNP_78330325,SNP_78330346,SNP_78330369,SNP_78330411,SNP_78330437,SNP_78330458,SNP_78330490,SNP_78330532,SNP_78330552,SNP_78330596,SNP_78331420,SNP_78331483,SNP_78331539,SNP_78331563,SNP_78331590,SNP_78331736,SNP_78331897,SNP_78331908,SNP_78331954,SNP_78332004,SNP_78332053,SNP_78332064,SNP_78332090,SNP_78332094,SNP_78332102,SNP_78332111,SNP_78332128,SNP_78332132,SNP_78332156,SNP_78332201,SNP_78332226,SNP_78332255,SNP_78332297,SNP_78332343,SNP_78332403,SNP_78332432,SNP_78332468,SNP_78332469,SNP_78332504,SNP_78332691,SNP_78333127,SNP_78333187,SNP_78333217,SNP_78334392,SNP_78336613,SNP_78336713,SNP_78336931,SNP_78337521,SNP_78338132,SNP_78338142,SNP_78338205,SNP_78338277,SNP_78338594,SNP_78338607,SNP_78344815	3.655621e-06	beta-Carotene	1
1	SORBI_3001G516901	SNP_78329746,SNP_78329877,SNP_78329907,SNP_78329913,SNP_78329932,SNP_78329959,SNP_78330032,SNP_78330046,SNP_78330068,SNP_78330100,SNP_78330134,SNP_78330222,SNP_78330246,SNP_78330251,SNP_78330297,SNP_78330325,SNP_78330346,SNP_78330369,SNP_78330411,SNP_78330437,SNP_78330458,SNP_78330490,SNP_78330532,SNP_78330552,SNP_78330596,SNP_78331420,SNP_78331483,SNP_78331539,SNP_78331563,SNP_78331590,SNP_78331736,SNP_78331897,SNP_78331908,SNP_78331954,SNP_78332004,SNP_78332053,SNP_78332064,SNP_78332090,SNP_78332094,SNP_78332102,SNP_78332111,SNP_78332128,SNP_78332132,SNP_78332156,SNP_78332201,SNP_78332226,SNP_78332255,SNP_78332297,SNP_78332343,SNP_78332403,SNP_78332432,SNP_78332468,SNP_78332469,SNP_78332504,SNP_78332691,SNP_78333127,SNP_78333187,SNP_78333217,SNP_78334392,SNP_78336613,SNP_78336713,SNP_78336931,SNP_78337521,SNP_78338132,SNP_78338142,SNP_78338205,SNP_78338277,SNP_78338594,SNP_78338607,SNP_78344815	3.655621e-06	beta-Carotene	1
1	SORBI_3001G517000	SNP_78332111,SNP_78332128,SNP_78332132,SNP_78332156,SNP_78332201,SNP_78332226,SNP_78332255,SNP_78332297,SNP_78332343,SNP_78332403,SNP_78332432,SNP_78332468,SNP_78332469,SNP_78332504,SNP_78332691,SNP_78333127,SNP_78333187,SNP_78333217,SNP_78334392,SNP_78336613,SNP_78336713,SNP_78336931,SNP_78337521,SNP_78338132,SNP_78338142,SNP_78338205,SNP_78338277,SNP_78338594,SNP_78338607,SNP_78344815	3.655621e-06	beta-Carotene	1
1	SORBI_3001G517100	SNP_78334392,SNP_78336613,SNP_78336713,SNP_78336931,SNP_78337521,SNP_78338132,SNP_78338142,SNP_78338205,SNP_78338277,SNP_78338594,SNP_78338607,SNP_78344815,SNP_78359870,SNP_78362170	3.655621e-06	beta-Carotene	1
