Chromosome	gene	SNP	pvalue	phenotype	phenotype_number
1	SORBI_3001G078400	SNP_6000255,SNP_6001143,SNP_6001160,SNP_6002848,SNP_6003720,SNP_6004591,SNP_6004960,SNP_6005058,SNP_6005578,SNP_6006066,SNP_6006117,SNP_6006499,SNP_6006646,SNP_6006648,SNP_6007744,SNP_6007783,SNP_6010195,SNP_6010397,SNP_6010563,SNP_6011315,SNP_6011318,SNP_6012090,SNP_6012435,SNP_6013370,SNP_6013401,SNP_6013951,SNP_6015129,SNP_6015364,SNP_6015366,SNP_6018212,SNP_6018908,SNP_6018940,SNP_6019110,SNP_6019240,SNP_6020025,SNP_6020078,SNP_6020137,SNP_6020138,SNP_6020156,SNP_6020174,SNP_6020184,SNP_6020264,SNP_6020388,SNP_6020623,SNP_6020673,SNP_6020728,SNP_6020796,SNP_6020853,SNP_6020860,SNP_6020862,SNP_6020907,SNP_6020921,SNP_6020934,SNP_6021021,SNP_6021042,SNP_6021492,SNP_6021510,SNP_6021786,SNP_6021866,SNP_6022334,SNP_6022347,SNP_6022405,SNP_6022454,SNP_6022466,SNP_6022510,SNP_6022664,SNP_6022711,SNP_6022713,SNP_6022726,SNP_6022892,SNP_6022926,SNP_6022967,SNP_6023337,SNP_6023375,SNP_6023385,SNP_6023413,SNP_6023502,SNP_6023522,SNP_6023919,SNP_6024129,SNP_6024144,SNP_6026202,SNP_6026228,SNP_6026236,SNP_6026405,SNP_6026523,SNP_6026591,SNP_6026873,SNP_6026918,SNP_6027345,SNP_6027464,SNP_6027533,SNP_6028183	3.048932e-07	Chlorophyll a	1
1	SORBI_3001G078500	SNP_6004591,SNP_6004960,SNP_6005058,SNP_6005578,SNP_6006066,SNP_6006117,SNP_6006499,SNP_6006646,SNP_6006648,SNP_6007744,SNP_6007783,SNP_6010195,SNP_6010397,SNP_6010563,SNP_6011315,SNP_6011318,SNP_6012090,SNP_6012435,SNP_6013370,SNP_6013401,SNP_6013951,SNP_6015129,SNP_6015364,SNP_6015366,SNP_6018212,SNP_6018908,SNP_6018940,SNP_6019110,SNP_6019240,SNP_6020025,SNP_6020078,SNP_6020137,SNP_6020138,SNP_6020156,SNP_6020174,SNP_6020184,SNP_6020264,SNP_6020388,SNP_6020623,SNP_6020673,SNP_6020728,SNP_6020796,SNP_6020853,SNP_6020860,SNP_6020862,SNP_6020907,SNP_6020921,SNP_6020934,SNP_6021021,SNP_6021042,SNP_6021492,SNP_6021510,SNP_6021786,SNP_6021866,SNP_6022334,SNP_6022347,SNP_6022405,SNP_6022454,SNP_6022466,SNP_6022510,SNP_6022664,SNP_6022711,SNP_6022713,SNP_6022726,SNP_6022892,SNP_6022926,SNP_6022967,SNP_6023337,SNP_6023375,SNP_6023385,SNP_6023413,SNP_6023502,SNP_6023522,SNP_6023919,SNP_6024129,SNP_6024144,SNP_6026202,SNP_6026228,SNP_6026236,SNP_6026405,SNP_6026523,SNP_6026591,SNP_6026873,SNP_6026918,SNP_6027345,SNP_6027464,SNP_6027533,SNP_6028183,SNP_6028583,SNP_6029755,SNP_6029759,SNP_6029852,SNP_6029865,SNP_6029893	3.048932e-07	Chlorophyll a	1
1	SORBI_3001G078600	SNP_6007744,SNP_6007783,SNP_6010195,SNP_6010397,SNP_6010563,SNP_6011315,SNP_6011318,SNP_6012090,SNP_6012435,SNP_6013370,SNP_6013401,SNP_6013951,SNP_6015129,SNP_6015364,SNP_6015366,SNP_6018212,SNP_6018908,SNP_6018940,SNP_6019110,SNP_6019240,SNP_6020025,SNP_6020078,SNP_6020137,SNP_6020138,SNP_6020156,SNP_6020174,SNP_6020184,SNP_6020264,SNP_6020388,SNP_6020623,SNP_6020673,SNP_6020728,SNP_6020796,SNP_6020853,SNP_6020860,SNP_6020862,SNP_6020907,SNP_6020921,SNP_6020934,SNP_6021021,SNP_6021042,SNP_6021492,SNP_6021510,SNP_6021786,SNP_6021866,SNP_6022334,SNP_6022347,SNP_6022405,SNP_6022454,SNP_6022466,SNP_6022510,SNP_6022664,SNP_6022711,SNP_6022713,SNP_6022726,SNP_6022892,SNP_6022926,SNP_6022967,SNP_6023337,SNP_6023375,SNP_6023385,SNP_6023413,SNP_6023502,SNP_6023522,SNP_6023919,SNP_6024129,SNP_6024144,SNP_6026202,SNP_6026228,SNP_6026236,SNP_6026405,SNP_6026523,SNP_6026591,SNP_6026873,SNP_6026918,SNP_6027345,SNP_6027464,SNP_6027533,SNP_6028183,SNP_6028583,SNP_6029755,SNP_6029759,SNP_6029852,SNP_6029865,SNP_6029893,SNP_6032927,SNP_6034328,SNP_6035455,SNP_6035579	3.048932e-07	Chlorophyll a	1
1	SORBI_3001G078700	SNP_6026202,SNP_6026228,SNP_6026236,SNP_6026405,SNP_6026523,SNP_6026591,SNP_6026873,SNP_6026918,SNP_6027345,SNP_6027464,SNP_6027533,SNP_6028183,SNP_6028583,SNP_6029755,SNP_6029759,SNP_6029852,SNP_6029865,SNP_6029893,SNP_6032927,SNP_6034328,SNP_6035455,SNP_6035579,SNP_6037795,SNP_6042255,SNP_6044490,SNP_6044782,SNP_6046810,SNP_6047049,SNP_6047105,SNP_6047424,SNP_6047856,SNP_6047857,SNP_6047870,SNP_6047885,SNP_6048196,SNP_6048319,SNP_6048339,SNP_6048463,SNP_6048654,SNP_6048686,SNP_6048709,SNP_6048741,SNP_6048784,SNP_6048851,SNP_6049194,SNP_6049898,SNP_6050447,SNP_6050532	3.048932e-07	Chlorophyll a	1
1	SORBI_3001G079100	SNP_6062695,SNP_6062696,SNP_6063336,SNP_6063344,SNP_6063581,SNP_6063621,SNP_6063683,SNP_6063805,SNP_6063841,SNP_6064173,SNP_6064191,SNP_6064202,SNP_6064228,SNP_6064793,SNP_6064803,SNP_6065315,SNP_6065433,SNP_6067029,SNP_6067043,SNP_6067084,SNP_6067094,SNP_6067169,SNP_6067283,SNP_6068045,SNP_6068052,SNP_6068087,SNP_6068496,SNP_6071187,SNP_6071205,SNP_6071312,SNP_6071366,SNP_6071880,SNP_6073448,SNP_6073858,SNP_6075960,SNP_6077684,SNP_6078024,SNP_6078247,SNP_6078937,SNP_6080799,SNP_6081281,SNP_6081740,SNP_6082488,SNP_6083202,SNP_6083322,SNP_6083518,SNP_6084064,SNP_6084531,SNP_6084782,SNP_6085009,SNP_6085195,SNP_6085320,SNP_6085526,SNP_6085655,SNP_6085876,SNP_6086004,SNP_6086229,SNP_6087207,SNP_6087220,SNP_6091044,SNP_6091079,SNP_6091134,SNP_6091670	1.384498e-06	Chlorophyll a	1
1	SORBI_3001G079150	SNP_6062695,SNP_6062696,SNP_6063336,SNP_6063344,SNP_6063581,SNP_6063621,SNP_6063683,SNP_6063805,SNP_6063841,SNP_6064173,SNP_6064191,SNP_6064202,SNP_6064228,SNP_6064793,SNP_6064803,SNP_6065315,SNP_6065433,SNP_6067029,SNP_6067043,SNP_6067084,SNP_6067094,SNP_6067169,SNP_6067283,SNP_6068045,SNP_6068052,SNP_6068087,SNP_6068496,SNP_6071187,SNP_6071205,SNP_6071312,SNP_6071366,SNP_6071880,SNP_6073448,SNP_6073858,SNP_6075960,SNP_6077684,SNP_6078024,SNP_6078247,SNP_6078937,SNP_6080799,SNP_6081281,SNP_6081740,SNP_6082488,SNP_6083202,SNP_6083322,SNP_6083518,SNP_6084064,SNP_6084531,SNP_6084782,SNP_6085009,SNP_6085195,SNP_6085320,SNP_6085526,SNP_6085655,SNP_6085876,SNP_6086004,SNP_6086229,SNP_6087207,SNP_6087220	1.384498e-06	Chlorophyll a	1
1	SORBI_3001G079200	SNP_6075960,SNP_6077684,SNP_6078024,SNP_6078247,SNP_6078937,SNP_6080799,SNP_6081281,SNP_6081740,SNP_6082488,SNP_6083202,SNP_6083322,SNP_6083518,SNP_6084064,SNP_6084531,SNP_6084782,SNP_6085009,SNP_6085195,SNP_6085320,SNP_6085526,SNP_6085655,SNP_6085876,SNP_6086004,SNP_6086229,SNP_6087207,SNP_6087220,SNP_6091044,SNP_6091079,SNP_6091134,SNP_6091670,SNP_6093794,SNP_6095980,SNP_6096478,SNP_6096508,SNP_6097133,SNP_6097525,SNP_6097562,SNP_6097873,SNP_6098189,SNP_6098740,SNP_6098847,SNP_6098918,SNP_6098931,SNP_6099170,SNP_6099175,SNP_6099200,SNP_6099213,SNP_6099235,SNP_6099349,SNP_6099368,SNP_6099372,SNP_6099413,SNP_6099488,SNP_6099536,SNP_6099572,SNP_6099580,SNP_6099701,SNP_6099894,SNP_6099963,SNP_6100203,SNP_6100239,SNP_6101117,SNP_6101175,SNP_6101191,SNP_6101192,SNP_6101764,SNP_6101892,SNP_6102078,SNP_6102085,SNP_6102467,SNP_6102479,SNP_6102498,SNP_6102548,SNP_6102560,SNP_6102588,SNP_6103151,SNP_6103194,SNP_6103215,SNP_6103238,SNP_6103374,SNP_6103467,SNP_6104089,SNP_6104157,SNP_6105000,SNP_6105309,SNP_6105455,SNP_6105992,SNP_6106043,SNP_6107577,SNP_6107692,SNP_6107825	1.384498e-06	Chlorophyll a	1
1	SORBI_3001G079300	SNP_6085526,SNP_6085655,SNP_6085876,SNP_6086004,SNP_6086229,SNP_6087207,SNP_6087220,SNP_6091044,SNP_6091079,SNP_6091134,SNP_6091670,SNP_6093794,SNP_6095980,SNP_6096478,SNP_6096508,SNP_6097133,SNP_6097525,SNP_6097562,SNP_6097873,SNP_6098189,SNP_6098740,SNP_6098847,SNP_6098918,SNP_6098931,SNP_6099170,SNP_6099175,SNP_6099200,SNP_6099213,SNP_6099235,SNP_6099349,SNP_6099368,SNP_6099372,SNP_6099413,SNP_6099488,SNP_6099536,SNP_6099572,SNP_6099580,SNP_6099701,SNP_6099894,SNP_6099963,SNP_6100203,SNP_6100239,SNP_6101117,SNP_6101175,SNP_6101191,SNP_6101192,SNP_6101764,SNP_6101892,SNP_6102078,SNP_6102085,SNP_6102467,SNP_6102479,SNP_6102498,SNP_6102548,SNP_6102560,SNP_6102588,SNP_6103151,SNP_6103194,SNP_6103215,SNP_6103238,SNP_6103374,SNP_6103467,SNP_6104089,SNP_6104157,SNP_6105000,SNP_6105309,SNP_6105455,SNP_6105992,SNP_6106043,SNP_6107577,SNP_6107692,SNP_6107825,SNP_6108538,SNP_6109359,SNP_6109403,SNP_6109407,SNP_6109434,SNP_6109437,SNP_6109463,SNP_6109591,SNP_6109629,SNP_6109632,SNP_6109786,SNP_6109822,SNP_6109859,SNP_6109961,SNP_6110126,SNP_6110155,SNP_6110188,SNP_6110238,SNP_6110240,SNP_6110284,SNP_6110348,SNP_6110448,SNP_6110515,SNP_6110526,SNP_6110530,SNP_6110552,SNP_6110601,SNP_6110619,SNP_6110665,SNP_6110681,SNP_6110704,SNP_6110705,SNP_6110807,SNP_6110899,SNP_6110927,SNP_6111010,SNP_6111045,SNP_6111058,SNP_6111102,SNP_6111152,SNP_6111166,SNP_6111173,SNP_6111258,SNP_6111266,SNP_6111286,SNP_6111314,SNP_6111419,SNP_6111473,SNP_6111491,SNP_6111495,SNP_6111520,SNP_6111554,SNP_6111560,SNP_6111823,SNP_6111893,SNP_6111937,SNP_6111958,SNP_6112004,SNP_6112016,SNP_6112032,SNP_6112038,SNP_6112043,SNP_6112165,SNP_6112210,SNP_6112308,SNP_6112436,SNP_6112597,SNP_6112654,SNP_6112727,SNP_6112745,SNP_6112756,SNP_6112761,SNP_6112762,SNP_6112766,SNP_6112767,SNP_6112998,SNP_6113004,SNP_6113087,SNP_6113109,SNP_6113148,SNP_6113180,SNP_6114029	1.384498e-06	Chlorophyll a	1
1	SORBI_3001G106550	SNP_8197218,SNP_8197272,SNP_8208007,SNP_8208316,SNP_8208319,SNP_8208347,SNP_8208409,SNP_8208487,SNP_8208755,SNP_8208785,SNP_8208787,SNP_8209128,SNP_8209417,SNP_8211344,SNP_8215007,SNP_8215150	5.783067e-06	Chlorophyll a	1
1	SORBI_3001G106600	SNP_8215007,SNP_8215150,SNP_8224666,SNP_8227497,SNP_8228444,SNP_8230607,SNP_8231825,SNP_8231957,SNP_8232113,SNP_8232287,SNP_8232371,SNP_8232738,SNP_8232937,SNP_8232960,SNP_8234138,SNP_8234268,SNP_8234889	5.783067e-06	Chlorophyll a	1
