Chromosome	gene	SNP	pvalue	phenotype	phenotype_number
1	SORBI_3001G121000	SNP_9399292,SNP_9399861,SNP_9399863,SNP_9399902,SNP_9400058,SNP_9400307,SNP_9400520,SNP_9400931,SNP_9401378,SNP_9401452,SNP_9402040,SNP_9402070,SNP_9402938,SNP_9403147,SNP_9403178,SNP_9403254,SNP_9403304,SNP_9403699,SNP_9404025,SNP_9404688,SNP_9404708,SNP_9404810,SNP_9404833,SNP_9405315,SNP_9405575,SNP_9405702,SNP_9407730,SNP_9407824,SNP_9408145,SNP_9408208,SNP_9408232,SNP_9408243,SNP_9408764,SNP_9409239,SNP_9409461,SNP_9409512,SNP_9409546,SNP_9410052,SNP_9410899,SNP_9411236,SNP_9411519,SNP_9412117,SNP_9419280,SNP_9419295,SNP_9419371,SNP_9421721,SNP_9421817,SNP_9421915,SNP_9422200,SNP_9422244,SNP_9425081,SNP_9425156,SNP_9425287,SNP_9425444,SNP_9425516	8.33847e-06	gibberellic acid	1
1	SORBI_3001G121100	SNP_9403699,SNP_9404025,SNP_9404688,SNP_9404708,SNP_9404810,SNP_9404833,SNP_9405315,SNP_9405575,SNP_9405702,SNP_9407730,SNP_9407824,SNP_9408145,SNP_9408208,SNP_9408232,SNP_9408243,SNP_9408764,SNP_9409239,SNP_9409461,SNP_9409512,SNP_9409546,SNP_9410052,SNP_9410899,SNP_9411236,SNP_9411519,SNP_9412117,SNP_9419280,SNP_9419295,SNP_9419371,SNP_9421721,SNP_9421817,SNP_9421915,SNP_9422200,SNP_9422244,SNP_9425081,SNP_9425156,SNP_9425287,SNP_9425444,SNP_9425516,SNP_9429135,SNP_9429276,SNP_9431380,SNP_9431492	8.33847e-06	gibberellic acid	1
1	SORBI_3001G121200	SNP_9421721,SNP_9421817,SNP_9421915,SNP_9422200,SNP_9422244,SNP_9425081,SNP_9425156,SNP_9425287,SNP_9425444,SNP_9425516,SNP_9429135,SNP_9429276,SNP_9431380,SNP_9431492,SNP_9432280	8.33847e-06	gibberellic acid	1
1	SORBI_3001G225200	SNP_21547208,SNP_21547227,SNP_21547670	1.827079e-06	gibberellic acid	1
1	SORBI_3001G225300	SNP_21547208,SNP_21547227,SNP_21547670	1.827079e-06	gibberellic acid	1
1	SORBI_3001G225400	SNP_21547208,SNP_21547227,SNP_21547670	1.827079e-06	gibberellic acid	1
1	SORBI_3001G262950	SNP_47097385,SNP_47097450,SNP_47097455,SNP_47098648,SNP_47113001,SNP_47113962,SNP_47115191,SNP_47121478,SNP_47121496,SNP_47121503,SNP_47121511,SNP_47121525,SNP_47121557	6.587305e-07	gibberellic acid	1
1	SORBI_3001G266000	SNP_50322767,SNP_50322770,SNP_50329190,SNP_50329397,SNP_50329417,SNP_50329479,SNP_50329480,SNP_50330849,SNP_50330909,SNP_50332978,SNP_50334162,SNP_50335416,SNP_50336762,SNP_50343606	8.19764e-06	gibberellic acid	1
1	SORBI_3001G266400	SNP_50770845,SNP_50773896,SNP_50777126,SNP_50777269,SNP_50778028,SNP_50778977,SNP_50782396,SNP_50787431,SNP_50789479,SNP_50790053,SNP_50790319,SNP_50790320,SNP_50790343,SNP_50790387,SNP_50790405,SNP_50790430,SNP_50790439,SNP_50790440,SNP_50790472,SNP_50790473,SNP_50790576,SNP_50793373,SNP_50793413,SNP_50797610,SNP_50797648,SNP_50797650	6.882205e-06	gibberellic acid	1
1	SORBI_3001G266500	SNP_50773896,SNP_50777126,SNP_50777269,SNP_50778028,SNP_50778977,SNP_50782396,SNP_50787431,SNP_50789479,SNP_50790053,SNP_50790319,SNP_50790320,SNP_50790343,SNP_50790387,SNP_50790405,SNP_50790430,SNP_50790439,SNP_50790440,SNP_50790472,SNP_50790473,SNP_50790576,SNP_50793373,SNP_50793413,SNP_50797610,SNP_50797648,SNP_50797650	6.882205e-06	gibberellic acid	1
1	SORBI_3001G266600	SNP_50778028,SNP_50778977,SNP_50782396,SNP_50787431,SNP_50789479,SNP_50790053,SNP_50790319,SNP_50790320,SNP_50790343,SNP_50790387,SNP_50790405,SNP_50790430,SNP_50790439,SNP_50790440,SNP_50790472,SNP_50790473,SNP_50790576,SNP_50793373,SNP_50793413,SNP_50797610,SNP_50797648,SNP_50797650	6.882205e-06	gibberellic acid	1
1	SORBI_3001G302600	SNP_58525700,SNP_58531693,SNP_58532905,SNP_58537583,SNP_58537627,SNP_58538960,SNP_58538989,SNP_58540379,SNP_58542378,SNP_58542390,SNP_58542407,SNP_58542815,SNP_58542855,SNP_58542898,SNP_58543103,SNP_58543519,SNP_58544505,SNP_58545063,SNP_58545910,SNP_58546179,SNP_58546195,SNP_58546224,SNP_58547409,SNP_58547694,SNP_58549308,SNP_58549425,SNP_58549464,SNP_58549474,SNP_58549490,SNP_58549493,SNP_58549514	1.591275e-07	gibberellic acid	1
