Lipids,Class,SubClass
DG(12:0/12:0),Glycerolipid,Diacylglycerol
DG(16:0/16:0),Glycerolipid,Diacylglycerol
DG(16:0/18:0),Glycerolipid,Diacylglycerol
DG(16:0/18:1),Glycerolipid,Diacylglycerol
DG(16:0/18:2),Glycerolipid,Diacylglycerol
DG(16:0/18:3),Glycerolipid,Diacylglycerol
DG(16:0/2:0),Glycerolipid,Diacylglycerol
DG(16:1/18:2),Glycerolipid,Diacylglycerol
DG(16:1/18:3),Glycerolipid,Diacylglycerol
DG(18:0/18:0),Glycerolipid,Diacylglycerol
DG(18:0/18:2),Glycerolipid,Diacylglycerol
DG(18:0/20:3),Glycerolipid,Diacylglycerol
DG(18:1/18:1),Glycerolipid,Diacylglycerol
DG(18:1/18:2),Glycerolipid,Diacylglycerol
DG(18:1/18:3),Glycerolipid,Diacylglycerol
DG(18:1/2:0),Glycerolipid,Diacylglycerol
DG(18:2/18:2),Glycerolipid,Diacylglycerol
DG(18:2/18:3),Glycerolipid,Diacylglycerol
DG(18:3/18:3),Glycerolipid,Diacylglycerol
DG(8:0/8:0),Glycerolipid,Diacylglycerol
DGDG(16:0/18:1),Glycerolipid,Digalactosyldiacylglycerol
DGDG(16:0/18:2),Glycerolipid,Digalactosyldiacylglycerol
DGDG(16:0/18:3),Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:0/18:2),Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:0/18:3),Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:2/18:3),Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:2/18:4),Glycerolipid,Digalactosyldiacylglycerol
LPC(16:0),Glycerophospholipid,Lysophosphatidylcholine
LPC(18:3),Glycerophospholipid,Lysophosphatidylcholine
LPE(16:0),Glycerophospholipid,Lysophosphatidylethanolamine
MG(12:0),Glycerolipid,Monoacylglycerol
MG(16:0),Glycerolipid,Monoacylglycerol
MG(16:1),Glycerolipid,Monoacylglycerol
MG(18:0),Glycerolipid,Monoacylglycerol
MG(18:1),Glycerolipid,Monoacylglycerol
MG(18:2),Glycerolipid,Monoacylglycerol
MG(18:3),Glycerolipid,Monoacylglycerol
MG(20:4),Glycerolipid,Monoacylglycerol
MGDG(16:0/18:1),Glycerolipid,Monogalactosyldiacylglycerol
MGDG(16:0/18:3),Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:2/18:2),Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:2/18:3),Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:3/18:3),Glycerolipid,Monogalactosyldiacylglycerol
PA(16:0/18:1),Glycerophospholipid,Phosphatidic acid
PA(16:0/18:2),Glycerophospholipid,Phosphatidic acid
PC(14:0/14:0),Glycerophospholipid,Phosphatidylcholine
PC(14:0/18:0),Glycerophospholipid,Phosphatidylcholine
PC(14:0/18:2),Glycerophospholipid,Phosphatidylcholine
PC(14:0/18:3),Glycerophospholipid,Phosphatidylcholine
PC(14:0/20:4),Glycerophospholipid,Phosphatidylcholine
PC(14:0/22:5),Glycerophospholipid,Phosphatidylcholine
PC(14:0/22:6),Glycerophospholipid,Phosphatidylcholine
PC(16:0/16:0),Glycerophospholipid,Phosphatidylcholine
PC(16:0/18:0),Glycerophospholipid,Phosphatidylcholine
PC(16:0/18:1),Glycerophospholipid,Phosphatidylcholine
PC(16:0/18:2),Glycerophospholipid,Phosphatidylcholine
PC(16:0/18:3),Glycerophospholipid,Phosphatidylcholine
PC(16:0/20:1),Glycerophospholipid,Phosphatidylcholine
PC(16:0/20:3),Glycerophospholipid,Phosphatidylcholine
PC(16:0/20:4),Glycerophospholipid,Phosphatidylcholine
PC(16:0/20:5),Glycerophospholipid,Phosphatidylcholine
PC(16:0/22:5),Glycerophospholipid,Phosphatidylcholine
PC(16:0/22:6),Glycerophospholipid,Phosphatidylcholine
PC(16:1/16:1),Glycerophospholipid,Phosphatidylcholine
PC(16:1/18:2),Glycerophospholipid,Phosphatidylcholine
PC(16:1/20:4),Glycerophospholipid,Phosphatidylcholine
PC(16:1/20:5),Glycerophospholipid,Phosphatidylcholine
PC(16:2/16:1),Glycerophospholipid,Phosphatidylcholine
PC(18:0/18:1),Glycerophospholipid,Phosphatidylcholine
PC(18:0/18:2),Glycerophospholipid,Phosphatidylcholine
PC(18:0/18:3),Glycerophospholipid,Phosphatidylcholine
PC(18:0/20:2),Glycerophospholipid,Phosphatidylcholine
PC(18:0/20:3),Glycerophospholipid,Phosphatidylcholine
PC(18:0/20:4),Glycerophospholipid,Phosphatidylcholine
PC(18:1/14:0),Glycerophospholipid,Phosphatidylcholine
PC(18:1/16:0),Glycerophospholipid,Phosphatidylcholine
PC(18:1/18:1),Glycerophospholipid,Phosphatidylcholine
PC(18:1/18:2),Glycerophospholipid,Phosphatidylcholine
PC(18:1/20:1),Glycerophospholipid,Phosphatidylcholine
PC(18:1/20:4),Glycerophospholipid,Phosphatidylcholine
PC(18:1/22:1),Glycerophospholipid,Phosphatidylcholine
PC(18:1/24:0),Glycerophospholipid,Phosphatidylcholine
PC(18:1/24:1),Glycerophospholipid,Phosphatidylcholine
PC(18:2/0:0),Glycerophospholipid,Phosphatidylcholine
PC(18:2/18:2),Glycerophospholipid,Phosphatidylcholine
PC(18:2/20:0),Glycerophospholipid,Phosphatidylcholine
PC(18:2/20:4),Glycerophospholipid,Phosphatidylcholine
PC(18:3/0:0),Glycerophospholipid,Phosphatidylcholine
PC(18:3/18:3),Glycerophospholipid,Phosphatidylcholine
PC(22:0/0:0),Glycerophospholipid,Phosphatidylcholine
PC(22:1/22:1),Glycerophospholipid,Phosphatidylcholine
PE(12:0/12:0),Glycerophospholipid,Phosphatidylethanolamine
PE(14:0/22:6),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/0:0),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/18:0),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/18:1),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/18:2),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/18:3),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/20:4),Glycerophospholipid,Phosphatidylethanolamine
PE(16:0/20:5),Glycerophospholipid,Phosphatidylethanolamine
PE(16:1/18:2),Glycerophospholipid,Phosphatidylethanolamine
PE(18:0/18:1),Glycerophospholipid,Phosphatidylethanolamine
PE(18:0/18:2),Glycerophospholipid,Phosphatidylethanolamine
PE(18:0/18:3),Glycerophospholipid,Phosphatidylethanolamine
PE(18:1/18:1),Glycerophospholipid,Phosphatidylethanolamine
PE(18:1/18:2),Glycerophospholipid,Phosphatidylethanolamine
PE(18:2/18:2),Glycerophospholipid,Phosphatidylethanolamine
PE(18:2/18:3),Glycerophospholipid,Phosphatidylethanolamine
PE(18:3/18:3),Glycerophospholipid,Phosphatidylethanolamine
PG(16:0/16:0),Glycerophospholipid,Phosphatidylglycerol
PG(16:0/18:0),Glycerophospholipid,Phosphatidylglycerol
PG(16:0/18:1),Glycerophospholipid,Phosphatidylglycerol
PG(18:0/16:0),Glycerophospholipid,Phosphatidylglycerol
PS(18:0/18:2),Glycerophospholipid,Phosphatidylserine
PS(18:0/20:4),Glycerophospholipid,Phosphatidylserine
SQDG(16:0/14:0),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/16:0),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:0),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:1),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:2),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:1/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:0/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:1/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:2/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:3/18:3),Glycerolipid,Sulfoquinovosyldiacylglycerol
TG(10:0/10:0/10:0),Glycerolipid,Triacylglycerol
TG(10:0/10:0/14:0),Glycerolipid,Triacylglycerol
TG(10:0/12:0/14:0),Glycerolipid,Triacylglycerol
TG(10:0/12:0/16:0),Glycerolipid,Triacylglycerol
TG(10:0/14:0/16:0),Glycerolipid,Triacylglycerol
TG(10:0/16:0/16:0),Glycerolipid,Triacylglycerol
TG(10:0/16:1/18:1),Glycerolipid,Triacylglycerol
TG(12:0/12:0/12:0),Glycerolipid,Triacylglycerol
TG(12:0/12:0/14:0),Glycerolipid,Triacylglycerol
TG(12:0/12:0/16:1),Glycerolipid,Triacylglycerol
TG(12:0/12:0/18:1),Glycerolipid,Triacylglycerol
TG(12:0/12:0/18:2),Glycerolipid,Triacylglycerol
TG(12:0/14:0/16:0),Glycerolipid,Triacylglycerol
TG(12:0/14:0/18:1),Glycerolipid,Triacylglycerol
TG(12:0/14:0/18:3),Glycerolipid,Triacylglycerol
TG(12:0/16:0/16:0),Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:1),Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:2),Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:3),Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:1),Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:2),Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:3),Glycerolipid,Triacylglycerol
TG(12:0/18:2/18:3),Glycerolipid,Triacylglycerol
TG(14:0/14:0/16:0),Glycerolipid,Triacylglycerol
TG(14:0/14:0/16:1),Glycerolipid,Triacylglycerol
TG(14:0/14:0/18:0),Glycerolipid,Triacylglycerol
TG(14:0/14:1/18:1),Glycerolipid,Triacylglycerol
TG(14:0/16:0/16:0),Glycerolipid,Triacylglycerol
TG(14:0/16:0/18:1),Glycerolipid,Triacylglycerol
TG(14:0/16:0/18:2),Glycerolipid,Triacylglycerol
TG(14:0/16:1/18:2),Glycerolipid,Triacylglycerol
TG(14:0/16:1/22:6),Glycerolipid,Triacylglycerol
TG(14:0/18:1/18:1),Glycerolipid,Triacylglycerol
TG(14:0/18:1/18:2),Glycerolipid,Triacylglycerol
TG(14:0/18:1/18:3),Glycerolipid,Triacylglycerol
TG(14:0/18:2/18:3),Glycerolipid,Triacylglycerol
TG(14:0/18:3/18:3),Glycerolipid,Triacylglycerol
TG(16:0/16:0/16:0),Glycerolipid,Triacylglycerol
TG(16:0/16:0/18:1),Glycerolipid,Triacylglycerol
TG(16:0/16:0/18:2),Glycerolipid,Triacylglycerol
TG(16:0/16:0/20:1),Glycerolipid,Triacylglycerol
TG(16:0/16:0/20:3),Glycerolipid,Triacylglycerol
TG(16:0/18:0/18:2),Glycerolipid,Triacylglycerol
TG(16:0/18:0/22:1),Glycerolipid,Triacylglycerol
TG(16:0/18:1/18:1),Glycerolipid,Triacylglycerol
TG(16:0/18:1/18:2),Glycerolipid,Triacylglycerol
TG(16:0/18:1/18:3),Glycerolipid,Triacylglycerol
TG(16:0/18:1/20:0),Glycerolipid,Triacylglycerol
TG(16:0/18:1/20:1),Glycerolipid,Triacylglycerol
TG(16:0/18:1/20:2),Glycerolipid,Triacylglycerol
TG(16:0/18:1/22:0),Glycerolipid,Triacylglycerol
TG(16:0/18:1/22:1),Glycerolipid,Triacylglycerol
