,(+)-Abscisic acid,(-)-Caryophyllene oxide,"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid","(2R,6R)-2-methyl-6-tridecylpiperidine","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-6,10,14,18-tetraene-1,2,3,22,23-pentol",.alpha.-Amyrin,.beta.-Amyrin,.beta.-Cryptoxanthin,.beta.-Sitosterol,"1,2,6,6,10,17,20-heptamethyl-17-[N-(2-methylphenyl)carbamoyl]-12-oxopentacyclo [12.8.0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate","1,2-dihydroxyheptadec-16-yn-4-yl acetate","1,9-Dideoxyforskolin","11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","13-Keto-9Z,11E-octadecadienoic acid","14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","16,16-Dimethylprostaglandin A1",19-Norandrosterone,"2,2'-Dithiobis(benzothiazole)",3-Epilupeol,3-Methoxylimaprost,3.10S-Hydroxypheophorbide a,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]","4,4-Dimethylcholest-8(9),24-dien-3.beta.-ol",4.alpha./.beta.-Hydroxyprostanozol,"5(6)-Epoxy-8Z,11Z,14Z-eicosatrienoic acid, methyl ester","5,7-Dimethoxy-3-hydroxyflavone",5.alpha.-Cholest-7-en-3.beta.-ol,7-Oxocholesterol,"8'-Apo-.beta.-carotenal, all-trans-","8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","9,12-Octadecadiynoic Acid","9-Oxo-10(E),12(E)-octadecadienoic acid",Alloxanthin,Alpha-Carotene,Antheraxanthin,Arachidonoylthiophosphorylcholine,Austinoneol,Betulin,Boldenone cypionate,Celaxanthin,Cembrane_Diterpene_minus_Me,Chlorophyll a,"Cholesta-4,6-dien-3-one",Cholesterol,Cycloartenol acetate,"Di-.gamma.-linolenin(6c,9c,12c)",Diadinochrome,"Didodecyl 3,3'-thiodipropionate",Dipterocarpol,Docosapentaenamide,Empenthrin,Erythrodiol,Fucosterol,Ginsenoside F1,Glochidone,Hydroperoxy fatty acid (18:3),L-alpha-phosphatidyl choline,Lanosterol,Lupeol,Lutein,Lycopene,Medroxyprogesterone,NCGC00164361-03!decanedioic acid,"NCGC00179780-02_C20H32O_(5xi,9xi)-Beyer-15-en-18-ol","NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester,(9Z,12Z,15Z)-","NCGC00384683-01_C30H50O_Lup-20(29)-en-3-ol,(3alpha)-","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate","NCGC00386020-01_C18H28O3_8-{(1S,5R)-4-Oxo-5-[(2Z)-2-penten-1-yl]-2-cyclopenten-1-yl}octanoic acid",Nandrolone,Nostoxanthin,Ophiobolin A,Oxo fatty acid (18:3),Palmitoyl ethanolamide,Panaxatriol,Pheophorbide A,Pheophytin a,Phytosphingosine,Pinolenic acid,Schaftoside,Sebacic acid,Stearoyl ethanolamide,Sumaresinolic acid,Tri-p-tolylamine,Ubidecarenone,Ubiquinone 9,Vitamin K1,Zeaxanthin,Zymosterol,[1-hexadecanoyloxy-3-phosphonooxypropan-2-yl]octadec-9-enoate,alpha-Tocopherol,beta-Carotene,beta-Zeacarotene,gamma-sitosterol,gibberellic acid,h_22_methandriol_m,"phenylmethyl(2S,3R)-3-hydroxy-2-[(phenylmethoxy)carbonylamino]butanoate"
PI655977,0.059129406,0.065207616,0.22776623,-0.024022437,-0.136865656,0.111631819,0.097996632,0.140252291,0.143423402,0.161362677,0.615906312,0.130929158,-0.483767891,0.282549702,0.083499922,0.099852584,0.055597528,-0.382789159,0.691066406,0.061388779,0.970315149,0.097156291,0.124752863,-0.024053527,0.09659786,0.594006032,0.378789694,0.565555657,0.207933919,0.09597056,0.282549679,0.091276233,0.234898773,0.252442904,-0.056797992,0.071891509,0.118524435,0.337833844,0.043368843,0.339794226,-0.125483274,0.015615392,0.566697597,0.378789877,0.074252728,0.003946882,0.134280769,0.407957891,0.214542029,-0.695292037,0.196295734,0.127308823,0.099191767,-0.00935416,0.266450861,0.223434524,-0.014751847,0.101172123,0.114943522,0.170575323,0.083193731,0.025890053,-0.101705889,-0.641507749,0.155904239,0.098428304,0.104942889,0.211006398,0.196203661,0.06407998,0.162783423,0.203972646,0.126700291,-0.136865608,0.664175584,0.003976402,0.029489608,0.175093089,-0.383680669,-0.14015421,-0.127648602,-0.037736551,-0.053526002,0.063934481,0.068072913,0.142263405,0.167745076,0.424392519,0.052714945,0.05793199,0.252442941,0.069074019,0.11416631,0.035835458,-0.477065427,-0.104611887
PI656101,-0.025163168,0.262451762,-0.180852232,-0.20299488,-0.101270419,-0.018222791,-0.031706166,0.022773095,-0.097788056,0.071228332,0.589913044,0.098307933,-0.638013828,0.009873832,0.056528418,-0.008822557,-0.052465908,0.465492129,0.588063117,0.065502068,0.354655263,0.095210774,-0.207754767,-0.059775473,0.058158745,1.113919593,0.293919717,0.167663104,0.094352196,0.057288805,0.009873802,-0.064571664,0.140135307,0.183198111,-0.044649443,0.016663347,0.123848493,0.029145362,0.038372742,0.18192604,-0.243430525,-0.012043209,0.168165751,0.293919702,-0.084961575,0.05435364,0.085174579,-0.104489278,-0.143929513,-0.80081459,-0.131552635,-0.057295715,-0.135838275,-0.093065639,0.038045458,-0.109410808,-0.098487706,-0.07050684,-0.031566235,0.009532098,0.155450767,0.047242738,-0.155266394,-0.707894623,0.08265095,-0.011285702,0.108752211,-0.143106937,-0.131153704,0.031312653,0.074095526,-0.144230874,0.060495009,-0.101270377,0.396715054,-0.015976121,-0.041274365,0.12007251,-0.148081783,-0.118499132,0.049535693,0.044839233,-0.095062773,-0.015283093,-0.032781984,0.003330416,0.001040981,-0.167809967,-0.387114958,0.103361932,0.183198167,0.121032367,0.079194603,-0.012131344,-0.603913065,0.143080389
PI533903,0.099908237,-0.022614235,-0.114602024,0.031164168,-0.128305901,0.023303142,0.053120753,0.053466148,0.008632795,0.172142363,0.518035009,0.152484551,0,0.112368109,0.05883439,-0.00108236,-0.054042124,-0.15032788,0.639281508,0.149156291,0.271913505,0.106362236,0.084776119,-0.100047776,0.065107148,0.483131437,0.057085962,0.144072353,0.063062244,0.064037357,0.112368138,-0.03860026,0.176922643,0.189248073,-0.002158459,-0.270624764,0.105971388,-0.122155294,-0.016211235,0.270972066,-0.022491241,0.016171835,0.144515487,0.057086042,0.066528294,0.059575777,0.088225441,-0.143755332,-0.309711752,0.038253575,-0.113870149,-0.236118936,0.104442974,-0.160580951,-0.108863057,-0.064901122,-0.031987365,0.01276226,0.035880892,0.1492011,0.169652436,0.013003027,-0.099068929,0.010827119,0.050394555,0.001174808,0.082637497,-0.110261371,-0.113345591,0.12555988,0.12745591,-0.113094359,0.049088572,-0.128305866,0.347683895,0.003823502,0.102659642,0.096766877,0.12602513,-0.072773814,-0.153128597,-0.064724478,-0.077195521,-0.055613469,-0.036875517,0.070916676,0.155575545,0.420717064,-0.37897464,0.212907801,0.189248037,0.141472605,0.235848659,-0.203643809,-0.020099721,0.208692548
PI576385,-0.007325857,0.149303116,-0.104208978,-0.193381243,-0.14711292,0.188780711,0.183596618,0.030735129,-0.169534057,0.129844288,0.419766478,0.025134597,-0.367670166,-0.012437876,0.049183305,-0.019369579,-0.092260548,-0.385232342,0.518157877,-0.010807331,0.171393999,0.132274484,-0.158662964,-0.066397496,0.053257439,0.23208622,-0.003272262,0.13525235,0.076595233,0.05269813,-0.012437906,-0.099975592,0.249553898,0.200332138,-3.61E-04,0.194326926,0.106344355,0.024561187,-0.012766789,0.233462469,-0.233791992,0.0356183,0.135672383,-0.003272162,0.074303316,0.076868784,0.109696724,-0.164576731,-0.192159343,-0.402004869,-0.107781782,0.049839726,-0.115298215,0.013766048,0.328858596,-0.052234981,-0.258236531,0.074164702,0.188287849,0.151537518,0.182330533,0.007020969,-0.132900039,-0.362916711,0.075295099,-0.371373017,0.085409059,-0.102759526,-0.106266004,0.085873694,0.067645957,-0.104678279,0.046354551,-0.147112882,0.25449692,-0.029138896,-0.105665804,0.13518309,-0.225740523,-0.128011484,-0.061075533,-0.103422223,-0.094345498,-0.052118241,-0.065172215,0.08573939,0.155583754,-0.215771881,-0.043576534,0.150300088,0.200332206,0.15416203,0.0935995,-0.0541463,-0.346833514,-0.068806567
PI656023,0.200661284,0.036662412,0.041371833,-0.145204132,0.522938366,0.078012878,0.040459339,0.009309079,-0.114638931,0.134096699,0.51714411,-0.0058527,0.32686673,0.110584491,0.049541607,-0.062260184,-0.078629279,-0.282197389,0.395772746,0.126826096,0.364578503,0.161581612,-0.142357388,0.14764088,0.051993742,0.37373126,-0.03930363,0.228136517,0.096875629,0.051531834,0.110584408,-0.055777972,0.130836248,0.158856742,0.079922129,-0.284585569,0.090897562,0.056811118,0.018343125,0.234921584,0.467401787,0.012890023,0.228777735,-0.039303553,-0.087710384,0.0658633,0.093299028,-0.248011658,-0.099165608,0.338385938,0.055889841,-0.063851912,-0.030323853,0.367474396,0.133415889,0.090305345,-0.044476872,-0.010266674,0.068223009,0.183715654,0.007245642,-0.018319765,-0.095331523,0.297491794,0.055782034,-0.132833542,0.074836158,0.055371829,0.054958071,0.08550268,0.027402483,0.055636419,0.119251902,0.522938299,0.362418346,-0.10914204,0.070490973,0.124794735,-0.211384652,-0.050946728,-0.075695151,0.679728719,-0.07378798,0.03718962,0.065897434,0.080009267,0.192894125,-0.118023943,-0.433412217,0.389174411,0.158856718,0.123916343,0.170485116,-0.181229349,0.295743528,-0.104877053
PI35038,-0.216620804,-0.222302871,-0.11756666,-0.208493793,0.328512493,-0.092215898,-0.097370366,-0.203791505,-0.154366164,-0.11861683,0.56559968,-0.127681067,-0.322971287,0.071225808,-0.13648272,-0.212385899,-0.268294624,0.195049174,0.478027199,-0.050705434,0.193097791,0.147046492,-0.221522408,-0.120620933,-0.134814201,0.211972084,0.313177397,0.628360132,-0.158822201,-0.136530415,0.071225792,-0.203247403,-0.093155579,-0.032266352,-0.219197382,-0.097268274,0.062704811,0.084676064,-0.190127334,-0.118918071,-0.115187758,-0.209179103,0.629559223,0.31317749,-0.16343372,-0.137254656,-0.178044942,-0.228520462,-0.06119659,-0.382082886,-0.170038934,-0.201688245,-0.266750392,0.160848031,-0.172556065,-0.068597995,-0.017792772,-0.137580071,-0.087395618,-0.053363351,-0.103995673,-0.211902878,-0.05015729,-0.364818262,-0.264731319,-0.174143999,0.038974506,-0.148587053,-0.169570789,-0.160465293,-0.118174905,-0.150476632,0.029851089,0.328512492,0.167504781,-0.099239489,-0.234783248,-0.205901111,-0.166947724,-0.030263479,0.094615056,0.070759108,-0.175974033,-0.086874079,-0.208519048,-0.189773769,-0.042492982,-0.15731192,-0.385716466,0.01250383,-0.032266374,-0.151562591,-0.052769155,-0.23024734,-0.319126021,-0.125129674
PI534115,-0.021055172,-0.072166355,-0.198297074,-0.192537484,-0.110581268,0.020945992,0.019133012,-0.059529101,-0.024496752,0.091339526,0.595656723,-0.003716231,-0.331658144,-0.025797141,0.028448468,-0.108784527,-0.215554282,0.12791435,0.475558907,0.015499396,0.281990951,0.458485333,0.002009736,-0.086716505,0.03200544,0.179523552,0.108204375,0.119465187,-0.016658353,0.030732973,-0.025797172,-0.196051469,0.11427992,0.130029754,-0.083190606,-0.062654442,0.059623953,0.158687195,-0.105083636,0.041127022,-0.127053127,-0.00163456,0.119842682,0.108204438,-0.023745226,0.029210061,0.020764648,0.607374843,0.106562774,-0.417590792,-0.205527196,-0.060170123,-0.040332303,-0.154062808,-0.088932947,-0.124066659,0.069181283,0.00228363,0.026168573,0.085507888,0.030692766,-0.095598635,-0.096092053,-0.376119919,-0.0325668,0.039145964,0.038717725,-0.199487709,-0.204595757,0.046807114,0.009838188,-0.198790886,-0.03214663,-0.110581235,0.461598461,-0.007257962,-0.060980781,0.034656307,-0.049642563,-0.060559306,-0.04828833,-0.078881194,-0.176262549,-0.010864457,-0.06202221,-0.032056618,0.088590089,0.060270491,-0.466088478,0.348310805,0.130029726,0.010931001,0.081000518,0.10004803,-0.315605146,0.353213908
PI656042,-0.212528391,-0.041873285,0.099470372,-0.253830558,0.670969927,0.028262992,0.034193655,0.028504072,0.186248064,-0.0945384,0.442937719,0.126437823,0.266079529,0.209984714,0.028616706,0.044464004,-0.035553883,-0.315217162,0.698151845,0.172395995,0.565246837,0.168313593,0.221936794,-0.113705228,0.033758272,0.168701781,0.03553298,0.107988026,0.02776836,0.034373995,0.209984734,0.008441073,0.209743345,0.146296732,0.036393854,-0.292876651,0.073775131,0.207733202,0.01199824,0.249640048,0.331308407,-0.012329608,0.108333608,0.035533078,-0.002144979,0.036999759,0.08850403,-0.183813712,0.08242749,0.148765765,0.077365685,0.020735629,0.157836416,0.49572656,0.170840093,0.107947829,-0.047074539,0.00568578,0.036107024,-0.057765919,0.048469375,0.159161839,-0.149584456,0.256471997,0.113830798,0.002284609,0.043679397,0.088817351,0.07608317,-0.007884428,0.09000027,0.082820097,0.06426777,0.670969983,0.430408768,-0.088490742,0.149886522,0.190480685,-0.154016075,-0.090300475,0.031576737,0.424647947,-0.088169323,0.078625719,0.149293155,0.125669078,-0.077615002,0.059722829,-0.196250901,0.197555005,0.146296822,0.115521375,0.200817607,-0.301424979,0.316711733,-0.198752603
PI533794,-0.184036302,0.002934528,0.012811776,-0.124129086,-0.08799519,0.032978209,0.043615277,-0.106553574,-0.010761844,0.025195199,0.40708961,-0.065647182,-0.009601492,0.046330678,-0.010935464,-0.116119142,-0.218142319,-0.129130613,0.505764997,-0.015880172,0.587394598,0.185295503,0.051096666,-0.009525099,-0.007757081,0.14970737,-0.002232529,0.522217701,0.028024359,-0.009373988,0.046330636,-0.172969357,-0.039390567,0.070916921,-0.080697623,0.161452496,0.051487367,0.137156122,-0.080170627,0.001359557,-0.003886897,-0.055604724,0.523314735,-0.002232431,0.015252603,-0.001127033,-0.028606228,-0.147866815,0.052150095,-4.00E-04,0.016400607,-0.066676457,-0.035276189,-0.11230236,0.008156217,0.047394944,-0.164242066,-8.55E-04,0.038588328,-0.181578184,0.044330574,-0.085109733,-0.106876181,-0.016760367,-0.153952981,-0.015482228,0.027302545,0.019348339,0.016108782,-0.034775314,-0.03876661,0.016792363,0.109541483,-0.087995166,0.576864429,-0.032697945,-0.08050124,-0.067693935,0,-0.06761859,0,-0.076389339,-0.190036077,-0.032044241,-0.096807132,-0.082921516,-0.203042434,0.182211217,-0.435773882,0.061692294,0.070916924,-4.48E-04,0.023050944,-0.216820002,-0.02273781,0.22034142
PI533882,0.063714444,0.027194794,0.087112039,0.870486035,-0.093815797,0.076252839,0.087311988,-0.111144458,0.145908523,-0.101994619,0.566537348,-0.005230659,-0.153331135,0.240415257,-0.036819832,-0.0383606,-0.13705641,-0.40800194,0.715082828,0.043435792,0.647881356,0.197192786,0.14538502,0.053919334,-0.032004884,1.076469274,0.12657631,0.2112004,0.025575323,-0.033387198,0.240415233,-0.048063623,-0.034093162,0.044298279,-0.007251063,0.018614697,0.070786713,0.255505989,0.053534017,-0.01653024,0.036541091,-0.085209758,0.21180474,0.126576471,0.079690165,-0.028125137,-0.014992434,-0.088920793,-0.194490074,-0.203259806,0.079588816,0.116853928,0.108936252,-0.079667884,0.107299372,0.114607186,0.027813218,0.067578374,0.092100961,0.086837948,0.033258271,0.09006055,0.018876275,-0.165601573,-0.151066092,0.086381068,0.045143228,0.086231788,0.079657441,-0.135795531,-0.005179038,0.083757444,0.176776948,-0.093815771,0.313219736,-0.049117067,0.241898593,-0.068702143,-0.221271078,0.05910711,0.09168549,-0.030190913,-0.157098632,0.100239752,0.012716712,-0.046766725,0.098822063,0.19318363,-0.387508741,-0.03825024,0.044298282,-0.015587446,-0.087883446,-0.401726171,-0.135067384,-0.238462787
