,AEG(o-30:2),AEG(o-32:2),AEG(o-32:3),AEG(o-34:4),AEG(o-34:5),AEG(o-36:6),Cer(24:1),DG(16:0),DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DG(38:3),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),DGTS(34:5),FA(18:4),FA(22:0) amide,FA(22:1),FA(22:1) amide,GalCer(d36:3),GalCer(d38:3),LPC(16:0),LPC(18:3),LPE(16:0),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:2),PC(32:3),PC(33:2),PC(33:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(35:3),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(38:6),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),PS(36:2),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(24:0),TG(28:0),TG(30:0),TG(34:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(52:7),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(56:9),TG(58:1),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(58:6),TG(60:4),TG(60:5),TG(60:6)
PI655977,-0.247342663,0.177481984,0.096791219,0.155531721,0.11131916,0.094183891,0.006224855,0.50264275,0.006022897,0.003223689,0.006183831,0.137254213,0.160976989,0.140345598,0.151167262,0.127483732,0.125357049,0.224144744,0.200529549,0.072364725,-0.127967706,0.074922022,0.143576881,0.07835942,0.15637764,0.09843754,0.354297102,0.099568842,0.318101524,0.075083664,0.615459288,-0.007597846,0.02016542,0.023057401,0.040999827,0.122286052,-0.180490211,0.101733777,0.088290321,0.108036014,0.068950802,0.224738486,0.092308184,0.26128054,-0.208487308,0.080490423,0.277225991,0.320208695,0.079064537,0.038752847,7.26E-05,0.193803751,0.170436474,-0.018233901,0.104957937,0.034400723,0.19880946,0.127114581,0.088048716,0.13011002,-0.010160385,0.172175673,-0.025086236,0.016202279,0.125606652,0.047771032,0.118431313,0.22364145,0.207346166,-0.067835095,0.0754252,0.126445481,0.329365894,0.133737533,0.101733829,-0.008939308,0.079420949,-0.05912432,0.104818553,0.103535794,0.090837019,0.071536854,0.062794771,0.116173145,0.09316584,0.044983381,0.106576234,0.194265027,0.202573662,-0.219688399,-0.184003616,0.1014973,0.176234905,0.214354708,0.292807007,0.213769318,0.367553807,0.418199566,0.28700412,0.66495207,0.670829257,0.478317319,0.550277707,0.497634752,0.506645813,0.601870894,0.538228595,0.558402094,0.392633352,0.671570913,0.308131314,0.41595737,0.403711954,0.509553774,0.227522967,0.458635092,0.423254281,0.621284084,0.447178139,0.242783328,0.210919441,0.253873484,0.189699788,0.286369246,-0.001550328,0.230817988,0.234272621,0.228402884,0.252681302,0.167313995,0.089939389,0.01548826,0.257894606,0.418905893,0.253240582,0.425565805,0.358480107,0.30759363,0.281290134,0.161160614,0.165616589,0.120608881,0.260610992,0.385486637,0.425712338,0.411544315,0.078113418,0.073227119,0.126898088,0.178446893,0.760266475,0.421871145,0.542941399,0.482225119,0.278505358,0.131041658,0.270520875,-0.004392333,0.054382218
PI656101,-0.261503562,0.096891913,0.058577432,0.021911159,0.100689746,0.117630607,0.0654875,0.489575554,0.054415499,0.004039211,0.019261537,0.056298964,0.051306327,0.001537373,-0.025888753,0.060359371,0.008824909,0.016526235,0.023114264,-0.03511147,-0.354019408,0.067713144,0.025469516,0.093105715,0.06743973,0.097099676,0.026721115,0.043128749,0.224722526,-0.060879024,0.594981784,0.170764675,0.324151292,-0.025910023,0.008830595,0.097020923,0.087196426,0.040509872,0.033241717,0.070365728,0.045007437,0.057255952,0.052826391,0.531503191,0.010882682,0.096852189,0.092056934,0.061786745,0.071490867,-0.125073657,0.084042226,0.127517631,0.114601818,0.077606382,-0.020993539,0,0.115216229,0.115735266,0.107480264,0.11935822,0.0679586,0.073528399,0.128279665,0.154743655,0.088510516,0.101239784,0.148306745,0.147060321,-0.110187795,-0.036411274,0.135499607,0.259450992,0.320504316,0.006272775,0.040509871,0.097733041,0.024341357,-0.055324411,0.050292032,0.04497624,0.032013444,0.043266925,-0.028729151,0.05861483,0.059455538,-0.028439457,0.105504739,0.125345827,0.029460132,-0.051381519,0.062156262,0.082787034,0.026183496,0.131573473,0.057476168,0.12895722,0.063662456,0.084826667,0.152678863,0.658668801,0.61114601,0.44844001,0.474220137,0.418707835,0.471207375,0.481225397,0.419910997,0.492877717,0.245746533,0.294032402,0.134618235,0.197453284,0.35918753,0.434372166,0.094605877,0.289186696,0.37510862,0.367478636,0.260701652,0.274884304,0.075163342,0.077196333,0.023046976,-0.016829912,-0.029797222,0.195685784,0.091372237,0.065326437,0.019482525,-0.080140812,-0.131598487,-0.172815459,-0.059588671,0.263930696,0.168232734,0.221123141,0.047434635,-0.074188611,-0.072370037,-0.05774871,-0.174394909,-0.189259257,0.254157994,0.231271504,-0.002679564,0.11112778,-0.048295314,-0.158324976,-0.080754972,-0.146311772,0.412840545,0.267319447,0.386593914,0.246282734,0.109444372,-0.185806526,0.089042194,-0.135344711,-0.133683528
PI533903,-0.155446516,0.143670309,0.074683738,0.043676908,0.129513413,0.023834493,0.195091763,0.420702859,0.059991629,-0.005954563,0.017742498,0.164074761,0.119689299,0.156524478,0.104717175,0.038758241,0.014147605,0.108136218,0.12752473,0.04325254,-0.048576844,0.352018135,0.1415165,0.139515071,0.069401564,0.084947956,0.136522299,0.067139323,0.257376931,-0.046798921,0.506865464,0.258027893,0.42293997,0.020792255,0.014210787,0.149221022,0.154441019,0.137942678,0.039357696,0.1611196,0.04146058,0.126145957,0.057887316,-0.054727766,0.346437138,0.228216726,0.164993845,0.154928358,0.059090788,-0.129180164,0.068125963,0.258885784,0.168841413,0.106956198,-0.028140676,-0.007314877,0.118925628,0.166754206,0.123906245,0.167826605,0.158516652,0.235399753,0.041721747,0.038135771,0.059141071,0.113643936,0.099799485,0.282717669,-0.029363184,0.126360345,0.28990852,0.018552931,0.161378465,0.023430311,0.137942679,-0.038008792,0.037899971,-0.087392115,0.048450075,0.060553242,0.060730457,0.045482108,-0.010959819,0.063458548,0.085640347,0.063082057,0.125483734,0.28778435,-0.036247224,0.176270978,0.125686162,0.481549975,0.077310201,0.147355041,0.148427305,0.097129321,0.127168152,0.065682582,0.137603356,0.574888392,0.524048966,0.324147819,0.276671805,0.195797655,0.26444853,0.28972971,0.240023507,0.192011593,0.162771879,-0.015738148,0.147915004,0.230956403,0.102233877,0.257278875,0.061117569,0.297275125,0.36583246,0.252071149,0.061291996,0.168401811,0.071601035,0.170381666,0.245137563,0.263324305,0.308601024,0.155361721,0.027321019,0.040152126,0.090274073,0.194788504,0.280381532,0.2729513,0.441374497,0.198362239,0.082054659,0.195492468,0.103724163,0.183201366,0.202669843,0.244918837,0.351247112,0.378902305,0.091959231,0.174167812,0.274744162,0.221336077,0.199630386,0.146650091,0.399653999,0.405318829,0.446605173,0.236280111,0.417264436,0.273234719,0.30396267,0.31004669,0.2277881,0.177398001,0.345308318
PI576385,-0.251320479,0.082323851,0.033993885,0.106393843,0.068315802,-0.387857428,0.006902893,0.334065543,0.077044026,0.008122497,0.018380644,0.07459433,0.043529726,-0.059293478,-0.03075072,-0.048988935,0.009660455,0.072177907,-0.03597028,-0.009159173,-0.199372362,0.094996319,0.014362344,0.127137083,-0.052532911,0.070185885,0.065033215,0.042231674,0.950383336,-0.098287208,0.562256205,0.016816143,0.022116672,-0.027402828,-0.023950674,0.304521756,0.120405343,0.347494381,0.043997223,0.150375217,0.04489289,0.056040313,0.049632812,0.035789453,0.329205028,0.291288816,0.244983251,0.099830517,0.080924463,-0.045111589,0.272744121,0.053231918,0.036728259,-0.147051359,-0.114657213,-0.030987589,0.027764696,0.212722022,0.202356856,0.22054686,-0.035420275,0.034666244,0.176458247,-0.019255785,0.069533996,0.037121806,0.052172425,0.072272835,-0.106262414,-0.011222116,0.00415152,0.03732586,0.314230166,-0.150659304,0.347494382,0.252467295,0.042622962,-0.08087972,0.045142636,0.007085398,-0.052866134,0.013098475,-0.044796279,0.050089684,0.023044229,-0.080772376,0.096001592,0.143300913,-0.044729371,0.297298109,0.183719564,0.321616854,0.17113898,0.169218003,0.208827924,0.066905988,0.136382329,0.121995319,0.171812878,0.484908197,0.4087008,0.2430459,0.185996518,0.140138994,0.174694776,0.220813176,0.145246163,0.124664629,0.066792924,0.004620834,0.007274074,0.095363357,0.021396147,0.379325687,-0.052299786,0.138268998,0.203784692,0.25869753,-0.003414989,0.076295215,-0.068024648,-0.02559825,-0.060798004,-0.11794812,-0.053451375,-0.209834022,-0.098666719,-0.085447316,-0.023198063,0.007474542,-0.047338769,-0.128661705,-0.093280461,0.071398565,-0.031840687,0.086441536,-0.013630768,-0.02338378,0.025983977,0.006878982,-0.125720866,-0.17425878,-0.113671637,0.043103593,-0.04667048,-0.049861626,-0.33306168,-0.094329907,-0.012552528,-0.109273124,0.252389801,0.014010889,0.109238688,0.049659923,-0.313683028,-0.230530672,-0.069465953,-0.261783251,-0.208693678
PI656023,0.266934352,0.160100261,0.020686455,0.053591817,0.135615814,-0.390283387,0.307852562,0.43310624,0.065690942,-0.001387726,0.019255563,0.053512887,0.046585647,0.144868402,0.097842969,-0.003186939,-0.071146857,0.018381195,0.05997254,0.134260075,-0.271831705,0.019172268,0.002842018,0.076180914,-0.056357538,0.01550726,0.045434167,0.078157764,0.361213364,-0.067054636,0.714873865,0.031436913,0.057397115,-2.00E-04,0.022292618,0.159258314,0.066805327,0.16627978,0.068253807,0.094120957,0.055702257,0.028983682,0.046556132,0.2017497,0.110409774,0.161676331,0.037698502,0.027365152,0.067789779,0.067854668,0.045743417,0.282079306,0.062930549,0.050439099,0.054248614,-0.041917487,0.144283271,0.045626473,0.06654809,0.046123354,0.085467471,0.154360554,0.180304904,-0.007002794,0.045740936,0.034036624,0.13829377,0.289415155,-0.018332318,-0.048492547,-0.00763795,-0.020223906,-0.010711604,-0.054906614,0.166279781,0.02247598,0.053309837,-0.025407629,-0.018469625,0.031642024,0.090741713,0.030868705,0.104830773,0.020127941,0.102532775,0.156941728,0.124308123,0.164142474,-0.082036612,0.154058832,0.117549124,0.116459686,-0.0248831,0.138845709,0.05806988,0.099232461,0.039789993,0.056432959,0.172186151,0.597212593,0.531682406,0.370679103,0.316103395,0.239344879,0.309455145,0.35844166,0.306187728,0.254307522,0.181589574,0.040886075,0.116246908,0.240590333,0.107395943,0.404417213,0.063821602,0.217526146,0.187398998,0.283463803,0.103331583,0.414264908,0.039654458,0.15109173,0.286113909,-0.179932848,0.185685229,0.376204358,0.062625329,0.061751021,0.080603725,0.053180702,0.078810331,0.150921586,0.182598993,0.221408168,0.074549427,0.135136879,0.077667577,0.082012197,-0.012531416,0.009319628,0,0.076779513,-0.016016353,0.234173203,0.248703261,0.195962317,0.106900679,-0.079584581,0.22017873,0.119705431,0.429544243,0.281200816,0.570622727,0.374716561,0.414921656,0.408272956,0.372714856,0.354663213,0.584500261
PI35038,-0.210004813,-0.159699207,-0.114719698,-0.142204207,-0.118665265,-0.532025621,-0.18875605,0.471747858,-0.137064022,0.014697906,-0.013220681,-0.142287736,-0.172097539,-0.200256684,-0.239429644,-0.126244016,-0.162832741,-0.128661047,-0.188505984,-0.214550821,-0.330705725,-0.167661992,-0.184791299,-0.171491658,-0.218841466,-0.218460227,-0.177525321,-0.130427807,0.439267409,-0.233409607,0.628624322,-0.039984104,-0.02708009,-0.196374565,-0.180372923,-0.056971786,-0.238303013,-0.062108015,-0.115134999,-0.209320269,0.001110282,-0.213073254,-0.150351072,-0.069375241,-0.26373818,-0.133538265,-0.15690478,-0.16849841,-0.126413022,-0.128998883,-0.207748595,0.036300162,-0.10807629,-0.136672707,-0.205344179,-0.099717332,-0.039198074,-0.03590011,-0.105842349,-0.038747808,-0.031698215,-0.097491715,0.145799108,-0.068878027,-0.048460514,-0.005920307,0.040723144,0.051107486,-0.107205038,-0.093722191,-0.178517912,0.015879591,-0.033877196,0.001417113,-0.062107999,-0.173166919,-0.125521149,-0.038717979,-0.099528806,-0.095470695,-0.059352204,-0.12549791,-0.078786887,-0.084128436,-0.044280515,-0.047018807,-0.120148279,-0.080320113,-0.227106926,-0.033085183,-0.062798954,-0.113407236,-0.063374863,-0.102916417,-0.201683078,-0.137975733,-0.121878025,-0.111058636,-0.102306256,0.616910344,0.6012332,0.505101304,0.470929688,0.430371756,0.492838314,0.417417262,0.398620211,0.614204558,0.259058303,0.154330105,0.164875058,0.193118563,0.322740564,0.100137208,0.061972295,0.298875594,0.365504336,0.482434642,0.360251441,-0.017930137,0.075200771,0.125749687,-0.031153873,0.086851131,-0.087804546,-0.203607736,0.132281342,0.160834908,0.203983575,0.022014728,-0.18545749,-0.230610236,-0.16154272,0.304458697,0.228622478,0.377212855,0.213852804,0.198131408,0.023374315,-0.092047156,-0.208164391,-0.229429595,0.08939745,0.258199656,0.12926618,0.329553802,-0.135142586,-0.080197473,-0.15200578,-0.288850729,0.44802241,0.252591269,0.437710535,0.381985299,-0.188739503,-0.260941935,-0.101939081,-0.337271626,-0.285266305
PI534115,-0.24040882,-0.066904076,-0.051188685,-0.096179123,-0.017304512,-0.51078811,-0.106076475,0.454945307,0.029307393,-0.020347536,-0.012935242,-0.054135755,-0.018576504,-0.036345739,-0.020364985,-0.081154986,-0.064084889,9.73E-04,-0.024761192,-0.069436295,-0.310562908,-0.003952174,-0.038901515,0.01357251,-0.057819645,-0.049480239,0.045839658,0.026644828,0.338007585,-0.206729319,0.666669575,0.133690724,0.265758813,-0.070407228,-0.069963568,-0.016626471,-0.145706445,-0.060385733,-0.054400737,1.41E-05,-0.011846146,-0.013909456,0.022143257,-0.020475052,-0.26427577,0.048711745,0.009638414,0.057782128,0.030504015,-0.333914819,-0.113114769,0.172426825,0.004328109,-0.092687947,-0.004809856,-0.016273079,0.133402153,0.102999948,0.108151778,0.101670077,-0.096841722,0.031054859,0.071145292,-0.0271598,0.047166496,0.147598118,0.191663791,0.174265355,-0.055953355,-0.059468514,0.168028129,0.092790387,0.284478615,-0.080118472,-0.0603857,-0.045094648,-0.051398791,-0.257574745,0.022543529,-0.019227175,-0.039142651,-0.010904716,0.018351555,0.043056456,0.050447333,0.02099205,0.024160581,-0.010671487,0.035230135,-0.014032629,-0.065794341,-0.12717252,-0.021367694,-0.030822769,-0.158319801,-0.059910421,-0.020404573,0.027898738,-0.002266829,0.593927658,0.595029014,0.423094979,0.303124589,0.243915228,0.31538315,0.32719645,0.273589465,0.110132874,0.139195302,0.101319769,0.092429808,0.18409007,0.159068317,0.259006787,0.019619006,0.227434363,0.240676533,0.133987592,0.141998092,0.2610061,0.004248789,0.038549298,0.013431228,-0.137853346,0.139568321,0.16663134,-0.00199717,-9.28E-04,-0.002356419,-0.00362532,-0.01769272,-0.048752069,0.089646731,0.15900002,0.042414985,0.130200546,0.052384381,0.037524247,0.033059074,0.044491022,0.013021727,-0.026036076,0.26253278,0.122376853,0.085220737,0.099126853,-0.046868201,-0.0292061,0.027602379,0.040841624,0.278598382,0.180996565,0.138853214,0.065118236,-0.056377801,0.09497942,0.087062207,-0.08270065,-0.049023346
PI656042,0.478100148,0.105715075,0.005586429,0.037453996,0.092210616,-0.140510977,0.297422167,0.366883091,0.037038514,0.015913539,0.020147241,0.033273455,0.027156218,0.165918107,0.00891095,-0.041960222,-0.085034355,-0.017289517,0.037781138,0.092450413,-0.214935935,0.065389636,0.055588773,0.070358709,-0.056748476,-0.040597952,0.041930051,0.047561077,0.641623126,-0.010986194,0.659795768,0.463521181,0.724108659,0.019918889,0.053079345,0.284109937,0.151889871,0.267915327,0.051314834,0.066623356,0.051588034,0.003612964,0.039136452,0.253768825,0.057859417,0.134210504,-0.052019663,0.012085077,0.031848017,0.002468815,0.055564091,0.413431435,-0.027827693,0.14572482,0.191471626,-0.009296844,0.166836692,0.100918651,0.166107828,0.100213342,0.229577941,0.331182401,0.032032206,-0.090706111,0.131234291,0.064122104,0.185692932,0.42951962,0.384687198,0.390744642,0.016508695,-0.002077121,0.059673053,-0.040441333,0.26791533,-0.03948251,0.052961202,-0.081607727,0.022069202,0.052935524,0.20340212,0.078025246,0.139376868,0.051286516,0.168003814,0.377970013,0.088322686,0.104905115,0.111198236,0.410369684,0.221440582,0.217401007,0.085575791,0.109549778,0.073451358,0.014774346,0.020235429,0.037242135,0.063000414,0.520739963,0.464503795,0.26751877,0.207387605,0.137386349,0.18776969,0.202852429,0.137925767,0.293956704,0.092951284,-0.007659079,0.141421683,0.231539022,0.270930168,0.109012689,0.075916787,0.286132966,0.345913573,0.120064526,-0.033884848,-0.093334294,0.04676721,0.076710052,0.040497622,-0.127689848,0.065434295,0.012558639,0.052873925,0.012875421,-0.041311115,-0.08159162,-0.072221563,0.072862944,0.164029401,0.207958904,0.103615751,0.129650799,-0.021397485,-0.046480215,-0.111823117,-0.028688574,0.008334591,0.173348471,0.101082731,0.163129687,0.063717244,-0.019953886,-0.162815024,-0.241427977,-0.107511578,0.014435283,0.326302738,0.248633881,0.244566728,0.105407286,-0.128355096,-0.109359827,-0.043430478,-0.106670577,0.112350402
PI533794,-0.241812991,-0.064116962,-0.031885607,-0.055425799,-0.04625409,-0.492385048,-0.153194583,0.306808624,-8.38E-04,-0.028448651,-0.00919107,-0.076985343,-0.070472187,-0.091619536,0.069090332,-0.091910553,-0.038603764,0.016661278,-0.025030865,-0.101695775,-0.253507001,-0.092306111,-0.103302192,-0.061389669,-0.121120773,-0.11739257,0.001457656,-0.005296819,0.253092055,-0.193984894,0.898086225,0.0085433,0.04683451,-0.075396921,-0.101911411,-0.032056348,-0.244067557,0.013584638,-0.055900762,-0.073766601,-0.013909847,-0.077354363,-0.022588167,0.013030692,-0.185711971,-0.051930218,-0.024446454,-0.013507326,-0.001393997,-0.099594717,-0.123185463,0.133092663,-0.006003301,-0.056620731,-0.029179026,-0.01718752,-0.064503505,0.041206801,-0.043101538,0.042343093,0.05363609,0.045423573,-0.045545951,-0.071631814,0,0.062936698,0.086056495,0.152362599,0.087403106,-0.094333413,0.008069916,0.065052192,0.200161132,-0.011531879,0.013584641,-0.052762982,-0.04798852,-0.114534743,-0.009842519,-0.049753437,-0.017885082,-0.02682259,-0.107042438,0.014755547,0.02569595,0.030887298,-0.005916399,-0.013230613,-0.002117989,0.027284382,-0.039326029,-0.10424721,0.056634117,0.025020448,0.025485304,-0.024875772,0.087080712,0.114095824,0.069178267,0.431048086,0.429812292,0.332227069,0.311421158,0.309941021,0.301842445,0.328362618,0.28784208,0.345704996,0.164046226,0.167556843,0.100233117,0.188986286,0.132414912,0.152623757,0.039388689,0.21798586,0.183983835,0.339676736,0.068531256,-0.086592669,0.046326091,0.138394563,-0.020432483,0.092283714,-0.051013441,-0.120439154,0.084493143,0.191378959,0.260897082,0.101589842,-0.10072737,-0.176621148,-0.105715768,0.244969329,0.27969249,0.4304908,0.281199431,0.292380071,0.126243072,-0.025509797,-0.109167423,-0.14503928,0.506758596,0.250821107,0.361203119,0.421757736,-0.031947733,0.019799744,-0.008905467,-0.125117934,0.460762611,0.234175686,0.466068425,0.45434296,0.204025387,-0.066667991,0.189777086,-0.192777948,-0.169129887
PI533882,-0.199712012,0.011898795,-0.041116407,-0.041255284,-0.050424591,-0.543710832,0.1056392,0.462909641,-0.028202181,-0.001631285,0.004909724,-0.019628349,-0.012638073,0.027024058,-0.201065239,0.058694639,-0.020182944,-0.028174427,-0.035048136,-0.080380958,-0.110431967,-0.043325331,-0.01621021,-0.038588958,-0.021742537,-0.040347012,4.99E-04,-0.023645623,0.611120575,-0.085815152,0.880715824,-0.047607594,-0.038284483,-0.024819219,-0.109694684,0.119519544,-0.184606788,0.26255981,-0.025429333,-0.023990769,0.005918609,-0.039582977,-0.044126752,0.12699258,0.064663006,0.028107068,-0.021452273,-0.020944442,-0.02910487,-0.264597377,0.011216505,0.183793527,-0.060859265,0.178788604,0.002543306,0.04281541,0.149936168,0.115768202,0.083825357,0.11767035,0.15850733,0.218627037,0.212843125,0.076506865,0.146480497,0.100783804,0.070704153,0.192982148,-0.071174103,0.281379956,-0.02234839,0.100346752,0.125560918,0.034849101,0.262559777,-0.022457585,-0.028842734,-0.132293591,0.018890449,0.00340306,0.073986036,-0.004116231,0.100059045,0.025184495,0.065232547,0.114817776,-0.016256569,0.076672887,0.103530513,0.019044884,0.009848759,-0.025971012,0.088516842,0.003709868,-0.120354105,0.035925973,0.00504329,0.018236902,-0.039417622,0.613102502,0.602765065,0.40645392,0.389405689,0.316266936,0.387475906,0.359106825,0.325370886,0.527425348,0.238729017,0.564355508,0.281265175,0.373414687,0.356420743,0.299655897,0.208178415,0.41042672,0.481424911,0.550075871,0.052034134,-0.030862772,0.165480007,0.20643175,0.129445726,0.09269168,-0.081793797,-0.064564869,0.185058663,0.162266033,0.11694303,0.04649359,-0.02446087,-0.027652574,-0.018981884,0.29945989,0.24007466,0.301358141,0.195393654,0.095468995,0.014788722,0.01958669,-0.033834346,-0.040789829,0.65961648,0.271328035,0.305105863,0.146525703,-0.052609073,-0.077252839,-0.026201061,-0.004114419,0.673126077,0.357040703,0.473833557,0.334030723,0.181670828,-0.181700135,0.205641541,-0.004083747,-0.026910292
