,Sum_AEG_Sum_Cer,Sum_AEG_Sum_DG,Sum_AEG_Sum_DGDG,Sum_AEG_Sum_FA,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MG,Sum_AEG_Sum_MGDG,Sum_AEG_Sum_PA,Sum_AEG_Sum_PC,Sum_AEG_Sum_PE,Sum_AEG_Sum_PG,Sum_AEG_Sum_PS,Sum_AEG_Sum_SQDG,Sum_AEG_Sum_TG,Sum_Cer_Sum_DG,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_FA,Sum_Cer_Sum_GalCer,Sum_Cer_Sum_LPC,Sum_Cer_Sum_LPE,Sum_Cer_Sum_MG,Sum_Cer_Sum_MGDG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_Cer_Sum_PE,Sum_Cer_Sum_PG,Sum_Cer_Sum_PS,Sum_Cer_Sum_SQDG,Sum_Cer_Sum_TG,Sum_DG_Sum_DGDG,Sum_DG_Sum_FA,Sum_DG_Sum_GalCer,Sum_DG_Sum_LPC,Sum_DG_Sum_LPE,Sum_DG_Sum_MG,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DG_Sum_PC,Sum_DG_Sum_PE,Sum_DG_Sum_PG,Sum_DG_Sum_PS,Sum_DG_Sum_SQDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_FA,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_LPC,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_MG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PC,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_SQDG,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPC,Sum_FA_Sum_LPE,Sum_FA_Sum_MG,Sum_FA_Sum_MGDG,Sum_FA_Sum_PA,Sum_FA_Sum_PC,Sum_FA_Sum_PE,Sum_FA_Sum_PG,Sum_FA_Sum_PS,Sum_FA_Sum_SQDG,Sum_FA_Sum_TG,Sum_GalCer_Sum_LPC,Sum_GalCer_Sum_LPE,Sum_GalCer_Sum_MG,Sum_GalCer_Sum_MGDG,Sum_GalCer_Sum_PA,Sum_GalCer_Sum_PC,Sum_GalCer_Sum_PE,Sum_GalCer_Sum_PG,Sum_GalCer_Sum_PS,Sum_GalCer_Sum_SQDG,Sum_GalCer_Sum_TG,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPC_Sum_PC,Sum_LPC_Sum_PE,Sum_LPC_Sum_PG,Sum_LPC_Sum_PS,Sum_LPC_Sum_SQDG,Sum_LPC_Sum_TG,Sum_LPE_Sum_MG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PA,Sum_LPE_Sum_PC,Sum_LPE_Sum_PE,Sum_LPE_Sum_PG,Sum_LPE_Sum_PS,Sum_LPE_Sum_SQDG,Sum_LPE_Sum_TG,Sum_MG_Sum_MGDG,Sum_MG_Sum_PA,Sum_MG_Sum_PC,Sum_MG_Sum_PE,Sum_MG_Sum_PG,Sum_MG_Sum_PS,Sum_MG_Sum_SQDG,Sum_MG_Sum_TG,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PA_Sum_TG,Sum_PC_Sum_PE,Sum_PC_Sum_PG,Sum_PC_Sum_PS,Sum_PC_Sum_SQDG,Sum_PC_Sum_TG,Sum_PE_Sum_PG,Sum_PE_Sum_PS,Sum_PE_Sum_SQDG,Sum_PE_Sum_TG,Sum_PG_Sum_PS,Sum_PG_Sum_SQDG,Sum_PG_Sum_TG,Sum_PS_Sum_SQDG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG,Sum_AEG,Sum_Cer,Sum_DG,Sum_DGDG,Sum_FA,Sum_GalCer,Sum_LPC,Sum_LPE,Sum_MG,Sum_MGDG,Sum_PA,Sum_PC,Sum_PE,Sum_PG,Sum_PS,Sum_SQDG,Sum_TG
PI152651,193.8298481,0.457386871,0.215437147,-1.622335687,-250.2245435,35.42324591,1706.285339,2.586495081,0.092313965,-16.69110953,0.061895193,0.503318668,2.524288343,108.5775429,0.550003114,-0.330118645,0.002359734,0.001111476,-0.008369896,-1.29094949,0.18275434,8.803006121,0.013344153,0.000476263,-0.086112174,0.000319327,0.002596704,0.013023218,0.560169365,0.002837556,-0.001703136,0.471017338,-3.546966011,-547.074171,77.44701068,3730.507905,5.654939489,0.201829065,-36.49232318,0.135323502,1.100422201,5.518934846,237.3866626,1.202489945,-0.72174928,-7.530436195,-1161.473532,164.4249679,7920.107401,12.00579901,0.428496042,-77.4755412,0.287300469,2.336266868,11.71705243,503.9871008,2.55296323,-1.532319984,154.2372183,-21.83472028,-1051.746167,-1.594303264,-0.056901889,10.28832052,-0.038151903,-0.310243233,-1.555959327,-66.92668097,-0.339019303,0.203483562,-0.141565833,-6.819016694,-0.010336696,-0.000368925,0.066704526,-0.000247359,-0.002011468,-0.010088093,-0.433920436,-0.002198038,0.00131929,48.16852028,0.073016885,0.002606028,-0.471190855,0.001747304,0.014208711,0.071260786,3.065149456,0.015526615,-0.009319266,0.001515863,5.41E-05,-0.009782133,3.63E-05,0.000294979,0.001479406,0.063633872,0.000322339,-0.000193472,0.035690756,-6.4531766,0.023930142,0.194594868,0.975949408,41.97863887,0.212644175,-0.127631654,-180.8080672,0.6704857,5.452248417,27.34459896,1176.176793,5.957962218,-3.576042326,-0.003708273,-0.030154896,-0.151235503,-6.505112362,-0.032951861,0.019778113,8.131789258,40.78326942,1754.216074,8.8860392,-5.333510206,5.015288533,215.7232582,1.092753257,-0.655883968,43.01313011,0.217884425,-0.130776916,0.005065533,-0.003040395,-0.60021232,689310.7304,3556.267196,1507062.781,3199590.884,-424887.8553,-2754.76866,19459.27632,403.9832697,266503.7856,7467025.523,-41298.07723,11136740.9,1369531.421,273071.3123,6348.557094,1253285.142,-2088069.671
PI17548,-84.2949204,0.141808967,0.090467371,1.423052893,7.443059172,9.710962501,145.7687401,1.005307041,0.050060844,59.43059081,0.03248845,0.179890199,3.63451754,122.6030188,0.589281452,0.138225503,-0.001682296,-0.001073224,-0.016881834,-0.088297837,-0.115202226,-1.729270749,-0.011926069,-0.000593877,-0.705031697,-0.000385414,-0.002134057,-0.043116685,-1.454453225,-0.006990711,-0.001639784,0.637952406,10.03499938,52.48652004,68.47918525,1027.923294,7.089164134,0.353016071,419.08909,0.229100108,1.268538956,25.62967367,864.5646439,4.155459744,0.974730345,15.73001261,82.27341033,107.3421538,1611.285238,11.11237151,0.553358006,656.9284579,0.359117868,1.988453911,40.17489933,1355.218095,6.513745707,1.52790449,5.230346115,6.824034824,102.4338173,0.706443903,0.035178485,41.76274198,0.022830107,0.126411463,2.554028425,86.15492746,0.414096662,0.097133075,1.30470043,19.58451985,0.135066378,0.006725843,7.984699495,0.004364932,0.024168852,0.488309639,16.47212738,0.079171942,0.018571061,15.01074071,0.103522904,0.005155086,6.119948543,0.003345544,0.018524446,0.374269547,12.62521802,0.060682085,0.014233965,0.006896589,0.000343426,0.407704634,0.000222877,0.001234079,0.02493345,0.841078949,0.004042578,0.000948252,0.049796572,59.11685526,0.032316942,0.178940554,3.615330833,121.9557944,0.586170621,0.137495807,1187.16717,0.648979258,3.593431177,72.60200249,2449.080126,11.77130472,2.761150058,0.000546662,0.003026896,0.061155669,2.062961467,0.009915457,0.002325831,5.53705089,111.8710677,3773.741759,18.13818327,4.25460448,20.20408877,681.5436293,3.275784101,0.768388184,33.7329556,0.162134711,0.038031321,0.004806419,0.001127423,0.234566186,-1006536.489,11940.65412,-7097833.881,-11125961.46,-707307.8542,-135231.5581,-103649.5083,-6905.022899,-1001222.958,-20106262.75,-16936.33657,-30981364.21,-5595282.548,-276938.1293,-8209.720269,-1708074.273,-7281843.555
PI24969,-17.05639064,0.057819254,0.036334857,-0.466650614,-23.2135595,4.222612249,-129.5949354,0.391006867,0.016524793,-371.0862412,0.006214339,0.061329553,1.421274808,30.38100952,0.19985444,0.049165799,-0.003389888,-0.002130278,0.027359283,1.360988969,-0.24756775,7.598028101,-0.022924362,-0.000968833,21.75643423,-0.000364341,-0.003595693,-0.083327993,-1.781209762,-0.011717276,-0.002882544,0.628421396,-8.070851452,-401.4849327,73.03124687,-2241.380255,6.762571923,0.285800864,-6418.039188,0.107478717,1.060711576,24.58134095,525.4479633,3.456537816,0.850336094,-12.84305642,-638.8785217,116.2138134,-3566.683546,10.76120572,0.454791745,-10212.95459,0.171029691,1.68789857,39.11601528,836.1395177,5.5003503,1.353130398,49.74505294,-9.048766082,277.7129858,-0.83790068,-0.035411489,795.2121565,-0.013316899,-0.131424991,-3.045693641,-65.10440273,-0.428274246,-0.105358908,-0.181902833,5.582725706,-0.0168439,-0.00071186,15.98575355,-0.000267703,-0.002641971,-0.061226061,-1.308761352,-0.008609384,-0.002117978,-30.69070228,0.092598336,0.003913405,-87.88072863,0.001471681,0.014524079,0.336586626,7.194837632,0.047329574,0.011643456,-0.003017146,-0.000127511,2.863431662,-4.80E-05,-0.00047324,-0.010967055,-0.234430531,-0.001542147,-0.000379381,0.042262155,-949.0530025,0.015893172,0.156850321,3.634910094,77.69942698,0.511127698,0.125741523,-22456.33237,0.376061555,3.711365887,86.00863072,1838.510761,12.09421753,2.975274753,-1.67E-05,-0.00016527,-0.003830039,-0.081870482,-0.000538566,-0.000132492,9.869038285,228.7089161,4888.855919,32.16020718,7.91166954,23.17438736,495.3730827,3.258697175,0.801665706,21.37588688,0.140616325,0.034592746,0.006578269,0.001618307,0.24600804,211577.8324,-12404.60757,3659297.137,5822998.959,-453396.6656,-9114.407138,50105.91074,-1632.608804,541110.2726,12803660.18,-570.1581168,34046713.88,3449851.231,148864.8298,6964.147532,1058659.656,4303353.888
PI276837,16.57596633,-0.177218425,-0.137294133,11.00011725,16.38603721,-13.37617948,-27.96097527,-1.85637556,-0.046573426,-18.67489991,-0.139727241,34.35122862,-3.250926255,94.07557865,-0.758897082,-0.178485974,-0.010691288,-0.008282723,0.66361846,0.988541898,-0.806962274,-1.686838325,-0.111991996,-0.002809696,-1.126625112,-0.008429508,2.072351496,-0.19612288,5.675420473,-0.045782977,-0.010767757,0.774717035,-62.070957,-92.46237908,75.47849196,157.7769086,10.47507085,0.262802392,105.3778686,0.788446465,-193.8355371,18.34417754,-530.8453597,4.282269644,1.007152467,-80.12081084,-119.3498722,97.42717478,203.6574666,13.52115725,0.339223717,136.0211068,1.017721864,-250.2017231,23.67855193,-685.2119366,5.527527409,1.300026231,1.489623868,-1.216003355,-2.541879749,-0.168759616,-0.004233903,-1.697700078,-0.012702341,3.122805679,-0.2955356,8.552234175,-0.068989909,-0.016225825,-0.816315703,-1.70639032,-0.113290086,-0.002842263,-1.139683724,-0.008527214,2.09637194,-0.198396123,5.741203774,-0.046313643,-0.010892565,2.090355869,0.138782196,0.003481818,1.396131081,0.010445975,-2.568089691,0.243038475,-7.033067911,0.056734966,0.013343569,0.06639166,0.001665658,0.667891579,0.004997223,-1.228541862,0.116266554,-3.364531378,0.027141295,0.006383396,0.025088364,10.05987167,0.075268843,-18.50446071,1.751222287,-50.67701852,0.408805793,0.096147556,400.9775856,3.000149501,-737.5714343,69.8021712,-2019.941128,16.29463726,3.832356547,0.007482088,-1.839433078,0.174079983,-5.037541251,0.040637277,0.009557533,-245.8448934,23.26623095,-673.2801572,5.431275091,1.277388525,-0.094637845,2.73863796,-0.022092284,-0.005195912,-28.93808449,0.233440264,0.054903114,-0.008066887,-0.001897262,0.235191277,526263.0461,31748.55907,-2969572.975,-3833106.595,47841.58516,32116.55383,-39343.3003,-18821.34085,-283489.5359,-11299642.12,-28180.23382,-3766359.681,15320.06473,-161880.9548,5594.045273,-693457.7273,-2948484.041
PI329435,52.24587725,0.090253919,0.258364202,-0.175163614,13.86908288,-56.41272268,-32.19685794,1.634128301,0.031461201,16.66408709,-0.017079785,-0.050178345,3.837208998,-49.61173931,-0.253334907,-0.034419863,0.001727484,0.00494516,-0.003352678,0.265457939,-1.079754531,-0.616256433,0.031277651,0.000602176,0.318955063,-0.000326912,-0.000960427,0.073445202,-0.949581898,-0.004848898,-0.000658805,2.862636926,-1.94078678,153.6673751,-625.0445753,-356.7363963,18.10589848,0.348585427,184.635606,-0.189241481,-0.555968596,42.51570487,-549.6906912,-2.806913085,-0.381366957,-0.677971685,53.68035803,-218.3457391,-124.6181076,6.324902164,0.121770743,64.49843652,-0.066107399,-0.194215547,14.85193756,-192.0224973,-0.980534087,-0.133222259,-79.17787604,322.0573129,183.8101949,-9.329153862,-0.179610367,-95.1344104,0.09750761,0.286465573,-21.90642749,283.2308509,1.446275868,0.196501213,-4.067516445,-2.321484285,0.11782526,0.002268441,1.201527689,-0.001231501,-0.003618,0.276673593,-3.577146358,-0.018266161,-0.002481769,0.570737529,-0.028967372,-0.000557697,-0.295395902,0.000302765,0.000889486,-0.068020277,0.879442384,0.004490741,0.000610144,-0.050754279,-0.000977151,-0.517568737,0.00053048,0.001558486,-0.119179611,1.540887605,0.007868311,0.001069044,0.019252589,10.19753901,-0.010451924,-0.03070649,2.348168742,-30.35975771,-0.15502755,-0.021063133,529.6710417,-0.542884086,-1.594927825,121.9663865,-1576.918165,-8.052296139,-1.094041597,-0.001024946,-0.003011167,0.230268179,-2.977165147,-0.015202447,-0.002065511,2.93787913,-224.6637721,2904.705086,14.83244094,2.015239764,-76.47141429,988.7081657,5.048689985,0.685950536,-12.92912097,-0.066020617,-0.008970025,0.00510635,0.000693785,0.135867034,137745.782,2636.490939,1526202.773,533145.7717,-786383.5372,9931.85946,-2441.75029,-4278.236784,84293.12548,4378274.754,8266.026287,-8064842.698,-2745124.064,35897.38845,-2776.475566,-543729.972,-4001927.136
PI329440,-11.44328699,-0.174662419,-0.085373594,0.213196877,-3.040530927,-1.687787743,-33.67257418,-1.618889369,0.024156499,-4.312121683,0.011188418,0.813890497,-5.813282951,-84.64379643,-0.253759223,-0.035411454,0.015263308,0.007460583,-0.018630738,0.265704332,0.147491516,2.942561363,0.14147066,-0.002110976,0.376825442,-0.000977728,-0.071123839,0.508008141,7.396807968,0.022175379,0.003094518,0.488792004,-1.220622485,17.40804311,9.663141897,192.7866011,9.268675963,-0.138303932,24.68831988,-0.064057385,-4.659791725,33.28296362,484.6136719,1.452855307,0.202742264,-2.497222693,35.61441872,19.76943529,394.4143917,18.96241322,-0.282950479,50.50884561,-0.13105244,-9.533281404,68.09228327,991.451717,2.972338529,0.414782284,-14.26161104,-7.91656881,-157.9412172,-7.593400968,0.113306066,-20.22600778,0.052479276,3.817553569,-27.26720507,-397.0217473,-1.190257696,-0.166097435,0.555096391,11.07457052,0.532436409,-0.007944829,1.418213393,-0.003679758,-0.267680388,1.911930216,27.83849218,0.083458853,0.011646471,19.95071615,0.959178294,-0.014312522,2.554895721,-0.006629043,-0.482223254,3.444321109,50.15073535,0.150350199,0.020980988,0.048077387,-0.000717394,0.128060351,-0.000332271,-0.024170724,0.172641477,2.513731085,0.00753608,0.001051641,-0.014921649,2.663629625,-0.006911169,-0.502746211,3.590908103,52.28510241,0.156748959,0.021873919,-178.5077224,0.463163872,33.69240238,-240.650885,-3503.976099,-10.50480118,-1.465918295,-0.002594643,-0.188744789,1.348125906,19.62926899,0.058847881,0.008212072,72.74402093,-519.580433,-7565.305313,-22.68052804,-3.165010021,-7.142586103,-103.9989983,-0.31178546,-0.043508868,14.56041227,0.043651621,0.006091473,0.002997966,0.000418359,0.139547457,142630.9728,-12464.16112,-816609.396,-1670668.482,669010.612,-46909.8905,-84507.64821,-4235.820288,-88104.21244,5904455.388,-33076.75046,12748091.44,175245.9003,-24535.35705,-1685.072963,-562072.0743,-4027820.246
PI34911,17.52877182,0.234428684,0.108293449,-1.411745156,8.107602771,5.679799865,-81.35039503,1.952512424,0.138129928,22.54211217,0.039823242,0.201502475,2.058199897,32.78447065,0.877814661,0.08400198,0.013373937,0.00617804,-0.080538738,0.462531138,0.324027258,-4.640963774,0.111389003,0.007880183,1.286006367,0.002271879,0.011495527,0.117418375,1.870323316,0.050078504,0.004792234,0.461946238,-6.022066626,34.58451679,24.22826319,-347.0155337,8.328811933,0.589219398,96.15765337,0.169873589,0.859547013,8.779641886,139.8483753,3.744484868,0.35832637,-13.03629324,74.86697353,52.44823139,-751.2032894,18.02982954,1.275515091,208.1576716,0.367734544,1.860707896,19.00576552,302.7373399,8.105888864,0.775688469,-5.742964823,-4.023247284,57.62399444,-1.383048786,-0.097843387,-15.96755057,-0.02820852,-0.142732897,-1.457911782,-23.22265495,-0.621793996,-0.059502226,0.700552312,-10.03384074,0.240824875,0.017037086,2.78036712,0.004911839,0.024853521,0.253860476,4.043670067,0.108270556,0.01036089,-14.32275731,0.3437643,0.024319506,3.968821562,0.007011381,0.035477038,0.362371905,5.772117227,0.15455028,0.014789602,-0.024001265,-0.001697963,-0.277098988,-0.000489527,-0.00247697,-0.025300429,-0.403003214,-0.01079054,-0.001032595,0.070744712,11.54518245,0.020395897,0.103201635,1.054128963,16.79091526,0.449582113,0.043022507,163.1949893,0.288302778,1.458789402,14.90046308,237.3451652,6.354992523,0.60813743,0.001766615,0.008938935,0.09130466,1.454365518,0.038941101,0.003726447,5.059921414,51.68338359,823.2496634,22.0427724,2.109370688,10.21426606,162.7000888,4.356346787,0.416878152,15.92871067,0.42649631,0.040813324,0.026775319,0.002562249,0.095694437,688731.283,39291.47404,2937913.868,6359861.007,-487858.0811,84948.81932,121259.7802,-8466.231574,352741.0502,4986111.928,30553.09448,17294706.48,3417979.266,334627.9844,21007.85126,784597.6073,8198988.721
PI35038,71.42912387,0.122768372,0.071692179,3.455175628,6.354717071,7.099132498,82.13074171,1.020808333,0.031080359,105.6715293,0.040499058,0.19465246,2.43214106,121.1563063,0.541275851,0.637052324,0.001718744,0.001003683,0.048372085,0.088965351,0.099387086,1.149821491,0.014291206,0.000435122,1.479389969,0.000566982,0.002725113,0.034049711,1.69617517,0.007577803,0.008918664,0.583962937,28.14385792,51.76184185,57.82541843,668.9894162,8.314912987,0.253162587,860.7390272,0.32988185,1.585526108,19.81081132,986.8690451,4.408919338,5.189058976,48.19459619,88.63891627,99.02241186,1145.602527,14.23876836,0.433525094,1473.961742,0.564902033,2.71511428,33.92477515,1689.951507,7.549998572,8.885938901,1.839187861,2.054637235,23.77035224,0.295443255,0.008995305,30.58354791,0.011721273,0.056336488,0.703912427,35.06516583,0.156656538,0.18437625,1.117143756,12.92437426,0.160637889,0.004890911,16.62883307,0.00637307,0.030631176,0.382730031,19.0655705,0.085177018,0.100248731,11.56912365,0.143793391,0.00437805,14.88513271,0.00570479,0.02741919,0.342596939,17.06635372,0.076245351,0.089736644,0.012429065,0.000378425,1.286625777,0.000493105,0.002370032,0.029613041,1.475163913,0.006590417,0.007756564,0.030446811,103.5175027,0.039673518,0.19068463,2.382563877,118.6866353,0.53024239,0.62406654,3399.945611,1.303043446,6.262876856,78.25331357,3898.163058,17.41536689,20.49694243,0.000383254,0.001842052,0.023016049,1.146536887,0.005122249,0.006028609,4.806345386,60.0542628,2991.583334,13.36514675,15.73005297,12.4947872,622.4237115,2.780729573,3.272767915,49.81467084,0.222551175,0.261930665,0.004467583,0.005258103,1.176945772,-1336649.136,-18712.94318,-10887569.1,-18644281.02,-386854.1806,-210339.677,-188283.4469,-16274.65074,-1309402.65,-43006232.54,-12649.09427,-33004450.21,-6866849.457,-549577.1435,-11032.43551,-2469441.662,-2098177.945
PI48770,-100.2852941,0.838128777,0.886973486,-1.885016937,55.60437743,-35.0201445,741.5412648,7.862081784,0.192089765,193.3629841,0.1165998,0.262268767,3.336926653,-390.9816369,-0.559141132,-0.29044096,-0.008357444,-0.008844502,0.018796544,-0.554461927,0.349205183,-7.394317098,-0.078397155,-0.001915433,-1.928129002,-0.001162681,-0.002615227,-0.033274337,3.898693626,0.005575505,0.002896147,1.058278287,-2.249077934,66.34347725,-41.7837276,884.7581487,9.380517652,0.229188844,230.7079645,0.139119194,0.312921802,3.981400884,-466.4935125,-0.667130335,-0.346535006,-2.125223546,62.69001082,-39.48274109,836.0354358,8.863942281,0.216567652,218.0031164,0.131458045,0.295689523,3.76214927,-440.8041989,-0.63039216,-0.327451683,-29.49807842,18.57815907,-393.3870568,-4.170828192,-0.101903469,-102.5789107,-0.061856102,-0.139133374,-1.77023696,207.4154504,0.29662393,0.154078701,-0.629809129,13.33602315,0.141393217,0.00345458,3.477477728,0.002096954,0.004716693,0.060011942,-7.031490235,-0.010055703,-0.005223347,-21.17470603,-0.224501695,-0.005485122,-5.521478761,-0.003329507,-0.007489083,-0.095285919,11.16447812,0.015966271,0.00829354,0.010602352,0.000259041,0.260758225,0.00015724,0.000353681,0.004499988,-0.527255401,-0.000754026,-0.000391672,0.02443243,24.59437454,0.014830652,0.033358692,0.424432961,-49.7300394,-0.071118712,-0.036941992,1006.628248,0.607006833,1.365344825,17.37170455,-2035.411079,-2.910832497,-1.512006429,0.00060301,0.001356355,0.017257319,-2.022008704,-0.002891666,-0.00150205,2.249307176,28.61863097,-3353.193027,-4.795386706,-2.490921596,12.72330932,-1490.767051,-2.131939451,-1.107417263,-117.1681843,-0.167561709,-0.087038461,0.001430096,0.000742851,0.519441236,1230531.149,-12270.30503,1468188.64,1387337.015,-652795.8049,22130.11287,-35137.809,1659.423699,156514.6716,6406021.401,6363.84029,10553458.47,4691870.714,368761.8209,-3147.286298,-2200752.33,-4236768.625
PI533750,35.781548,-0.114348338,-0.140443823,1.228551171,10.80183986,1.94588866,66.25076386,-0.556038506,-0.025678174,-5.379457894,0.022343505,0.124060583,-8.824845536,-54.42218678,0.338584397,-0.097641959,-0.003195735,-0.003925035,0.034334769,0.301882967,0.054382462,1.851534312,-0.015539811,-0.000717637,-0.150341676,0.000624442,0.003467166,-0.246631184,-1.520956745,0.009462542,-0.002728836,1.228210442,-10.74393549,-94.464336,-17.01720102,-579.376708,4.86267237,0.224560971,47.04447804,-0.195398597,-1.084935596,77.17510951,475.9333415,-2.960990967,0.853899239,-8.747634054,-76.91217461,-13.85528117,-471.7242974,3.959152441,0.182835908,38.30327151,-0.159092115,-0.883346664,62.83541228,387.5014616,-2.410817287,0.695238543,8.792340207,1.583888979,53.92592952,-0.452596944,-0.020901184,-4.378700718,0.018186874,0.100981209,-7.183132249,-44.29785919,0.275596495,-0.079477324,0.180144187,6.133285137,-0.051476277,-0.002377204,-0.498013113,0.002068491,0.011485134,-0.81697615,-5.038233069,0.031345067,-0.009039382,34.04653371,-0.285750422,-0.013196117,-2.764525024,0.011482417,0.063755232,-4.535123575,-27.96778043,0.173999882,-0.050178595,-0.008392937,-0.000387591,-0.081198428,0.000337257,0.001872591,-0.13320368,-0.821457499,0.005110649,-0.001473824,0.046180568,9.67461397,-0.040183377,-0.223115093,15.87092521,97.8748526,-0.608922572,0.175602873,209.4953445,-0.870136051,-4.831363127,343.6710711,2119.394741,-13.18568828,3.802527367,-0.004153486,-0.023061912,1.640471161,10.11666749,-0.062940245,0.018150892,5.552422662,-394.9624553,-2435.705013,15.15359382,-4.370037724,-71.13335553,-438.6742799,2.729185932,-0.787050625,6.166927971,-0.038367175,0.011064438,-0.006221441,0.001794157,-0.288382926,-190313.5549,-5318.762479,1664331.617,1355086.685,-154908.9362,-17618.624,-97802.90047,-2872.624312,342266.8629,7411490.999,35377.8315,-8517623.184,-1534037.249,21565.65281,3496.984708,-562086.0165,1949096.031
